Company Name,Ticker,Net Income ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Price/Sales,Current Assets ,Current Liabilities ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Price/Book,Price/Cash Flow,PEG Ratio,% Rating Change - 4 Weeks,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,% Rating Hold,% Rating Upgrades ,% Change LT Growth Est. (4 weeks),% Change F1 Est. (4 weeks),P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Change Q0 Est. (4 weeks),% Change F2 Est. (4 weeks),% Rating Downgrades ,Beta,Market Value/# Analysts,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Current ROI (TTM),Current ROE (TTM),5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,Relative Price Change,% Price Change (YTD),% Price Change (12 Weeks),52 Week Low,Q1 Consensus Est. ,Last Close,52 Week High,Price as a % of 52 Wk H-L Range,% Price Change (1 Week),% Price Change (4 Weeks),% Change EPS (F(-1)/F(-2)),Last Yrs Growth (F[0] / F [-1]),This Yr`s Est.d Growth (F(1)/F(0)),F2 Consensus Est.,Dividend ,Div. Yield %,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),St. Dev. F1 / F1 Consensus,F1 Consensus Est.,F0 Consensus Est.,% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,Cash Flow ,Exchange,
MICROSTRATEGY,MSTR,83.33,0,0,86.18,1.04079,,8.0451,4.33,.14,2.7,479.94,233.50999,16.75,16.75,43.13999,138.55999,575.89,27.05,310.32,0,0,5.18,29.93,,12,2.2,40,0,34,73,-.3,60,0,,-160.89,76.83,,95.38,148.35,604.33001,12.32,-3.15,0,36.7,0,1.19,396.09326,8.2391,2.9,17.142,8.55,5.46,-25,,10.29,12.85,20.68,91.7,.04,140.21,150.37,82.68,-.88,-2.36,-73.87,27.72,-113.09,1.83,0,0,,0,-64.85215,-73.87,305.69619,-1.73679,-.31,1.9,-4.67,2.8,-15.83,-85.22,-.16,5.71,.8,.27,52.93999,NSDQ,
AMER CAP MTGE,MTGE,-84.47001,0,0,0,.02254,,,71.28,-.39,5.11,227.39999,69.70999,-83.79001,-45.04001,-41.63001,0,216.95,21.74,1102.71997,0,7158.18994,.92,6.86,1.47,0,1.83,66.67,0,138,13,0,33.33,0,0,0,8.14,7.36,7.23,47.61999,173.035,,75.87,0,0,0,.5,255.96571,,1.72,,3.43,13.46,,5,9.28,14.66,.65,17.43,.71,20.02,21.11,70.38,.65,2.3,11.93,-12.04,-4.56,2.46,3.04999,12.99,36.902,13.19,-104.51874,11.93,-133.76369,.08324,2.72,3.13,126.07,99.44,0,0,.67,.1,.66,.05,154.40499,NSDQ,
MATERIALISE NV,MTLS,,,,,,,,,,,,,,,,,94.68,,,,,,,,,1,100,0,18,8,,0,0,,,1072,,,25.95999,91.605,,,,,0,,,,,,,,,25,,,,10.72,-.01,10.72,14.46,0,-12.35,-24.93,,,-150,.01,0,0,,,,,,-.4714,-.05,,,,,,-.01,,-.01,,,NSDQ,
MATRIX SERVICE,MTRX,24,38.38,2.98,143.86999,2.3406,329.397,6.6847,3.09,,.61,296.26998,164.36,35.90999,36.70999,49.49,797.86999,892.57,10.27,238.16,0,0,2.6,17.91,1.53,0,2,50,0,67,17,0,50,0,0,0,,15.3,20.08,360.35,1498.97497,12.71,20.77,1.09,,0,2.02,141.09823,7.6935,7.22,12.30099,13.14,14.06,9,10,5.22,9.33,-5.78,15.5,.4,26.71,37.21,51.64,-10.73,-18.42,93.31,17.86,24.54,,0,0,,0,,93.31,39.69731,.04663,1.75,1.4,,142.86,0,0,.37,.04,.42,.09,38.88399,NSDQ,
MTS SYSTEMS,MTSC,57.79999,36.27999,77.98,178.83999,1.27119,4.21789,3.302,9.05,.1,1.76,329.26,174.16,79.25,79.58,96.16,337.5,569.44,16.39,256.52999,0,0,4.01,14.17,,-50,1.5,100,0,16,5,0,0,0,,0,16.39,19.51,20.1,158.25999,583.10998,10.77,5.01,0,0,0,1.48,995.30358,10.17,11.5,19.12299,20.22,20.22,30.56,,-11.09,-7.5,1.37,59.17,1.15,65.74,73.92,44.54,-.96,-6.41,.37,-4.34,-4.53,4.01,1.2,1.83,19.95599,2.1,,.37,12.12415,,3.37,3.44,,159.72,,0,.91,,,,72.38999,NSDQ,
MA-COM TECH SOL,MTSI,27.30999,21.87999,53.99,63.86999,.82488,3.23889,5.0869,12.63,.09,2.42,244.86999,50.52,36.43999,37.25,55.22999,179.00999,318.72,4.45,236.82,0,0,4.46,15.56,.93,0,1.2,100,0,50,6,0,0,0,0,-1.83,15.05,18.53,19.25,114.19999,417.73999,3.97,5.46,0,0,0,1.23,312.44149,43.71599,10.09,,13.11,21.31,-52.98,20,12.13,16.72,20.69,13.59,.29,19.83,23.03,66.1,-4.02,-13.44,-157.47,3.61,24.42,1.32,0,0,,,-133.79198,-157.47,2803.96044,.02472,1.07,.86,101.72,122.92,-6.45,-.84,.28,.06,.29,.12,59.053,NSDQ,
MATTSON TECH,MTSN,-10.97001,.25,34.11999,29.59,1.5614,2.66689,4.59779,4.88,-.09,.95,83.55999,56.56,-11.51001,-11.51001,-7.54,82.01999,119.43,.92,34.13999,0,0,2.24,,.98,0,1.5,75,0,103,7,0,25,0,0,-27.59,8.58,19.62,17.17,36.81999,165.75,16.26,-5.61,0,-20,0,2.69,75.67204,-24.181,7.62,-39.86601,17.62,17.62,,20,-28.37,-24.82,11.96,1.84,0,2.06,3.17,16.54,-5.94,-10.82,123.21,63.64,187.5,.24,0,0,,0,103.60184,123.21,43.19005,.06734,.1,-.13,0,0,-20,-100,.03,,.04,0,-3.30501,NSDQ,
MICRON TECH,MU,1190,386,2649,2329,.74848,4.0443,5.59619,20.22,.13,2.22,8911,4125,1285,1516,3442,7226,9073,9.99,10006,0,4452,3.11,19.12,.72,0,1.67,76.19,4.76,11,2,0,19.05,0,0,.11,8.75,9.67,11.87,4098.95117,16152.833,15.11,10.19,0,-.6,0,1.75,2377.99194,.7713,15.14,1.2378,20.8,29.62,,13.36,34.47,42.94,15.45,12.6,.81,31.09,34.64,83.89,-8.23,-7.83,573.46,79.25,1560.73,3.55,0,0,,0,352.66903,573.46,215.31007,.02912,3.21,-.27,102.71,386.4,.52,.35,.71,.11,.89,.13,1688.40002,NSDQ,
MICROVISION INC,MVIS,-13.17001,1.13999,.03999,.01999,.42759,28.54299,15.5,-268.46,-2.25,16.49,5.78,9.65999,-13.17001,-13.17001,-12.09001,1.79999,5.85,.31,-1.69001,0,0,6.52,,,0,2,50,0,51,6,0,50,0,,0,,,,2.79999,8.1,15.09,-30.04,0,,0,1.45,86.91252,-129.63601,-114.79,-3540.11011,-486.6,-486.6,,,42.15,53.03,30.32,1.09,-.08,2.02,2.83,53.45,-10.22,-9.82,-8.39,50.48,5.77,,0,0,,0,,-8.39,41.9568,,-.49,-.53,,61.54,0,0,-.1,,-.08,,-13.622,NSDQ,
MWI VET SUPPLY,MWIV,62.84,111.63999,326.08999,307.44,3.00589,6.40399,7.7139,2.55,.03,.66,642.82,364.76998,100.68,101.38999,111.45999,2043.14001,2347.49,36.33,426.30999,0,.00999,3.94,24.88,1.62,0,1.71,71.43,14.29,64,16,0,14.29,0,0,.24,22.05,25.52,26.19,761.22998,2934.04199,26.58,13.12,0,.99,0,.44,306.45376,8.21819,7.64,15.11499,15.29,15.54,24.37,15.8,-20.43,-15.88,3.85,131.12,1.33,142.98,186.26,21.51,-2.07,-2.16,12.35,18.2,12.03,6.48,0,0,,0,12.31129,12.35,17.52384,.00443,5.6,4.92,87.37,113.5,-.1,-.15,1.5,.01,1.72,.04,73.569,NSDQ,
MAXIM INTG PDTS,MXIM,354.80999,579.15002,275.64001,285.42999,.59241,3.6166,8.26819,19.1,.14,3.44,1939.90002,404.89001,570.27001,570.27001,777.40002,944.89001,2453.66,8.51,2507.98999,0,503.57,3.51,11.82,1.79,-13.34,2.44,31.58,5.26,50,14,.19,63.16,0,-1.9,-20.28,15.13,18.5,18.31,601.53698,2491.83691,7.06,.5,0,-15.74,0,1.09,767.18298,11.762,11.32,15.309,14.56,19.65,30.87,10.34,.58,6.99,-6.34,27.37,.37,29.85,35.41,30.85,-9.38,-13.38,-20.91,-8.47,-.4,1.97,1.03999,3.48,6.5401,3.63,-11.76445,-20.91,-22.00436,.09003,1.61,1.68,85.2,89.36,-20.52,-28.67,.48,.08,.39,.12,735.14398,NSDQ,
MAXWELL TECH,MXWL,6.34,26.34,44.72999,29.86,.99542,2.72189,5.8091,3.62,.03,1.6,107.55999,44.25,8.48999,8.494,17.724,118.23999,193.53,4.83,140.21,0,.1,2.02,18.54,,0,1,100,0,83,4,0,0,0,,-6.25,24.05,64.93,121.75,55,196.94999,18.32,21.52,0,-28.95,0,1.48,145.76396,-.30613,1.21,-.49767,5.05,1.67,104.59,,34.06,25.35,-35.11,6.82,.08,9.74,18.2,25.66,-23.55,-35.88,-79.37,-12,-31.82,.41,0,0,,0,-34.86385,-79.37,-11.57601,.75426,.15,.26,-200,38.1,0,0,-.01,,.15,,15.56999,NSDQ,
MYRIAD GENETICS,MYGN,147.13,70.18,5,97.69999,.96697,16.78499,8.5023,25.63,,3.64,483.98999,64.5,233.27,233.27,242.14999,79.61,613.16,9.9,728.59002,0,0,3.75,18.95,1.21,0,2.71,28.57,14.29,12,166,0,57.14,0,2.04,.87,16.66,18,15.03,191.02,789.13397,19.2,23.62,1.09,0,0,1.01,252.49697,20.423,24.78,21.989,27.78,27.78,14.18,14.88,64.73,76.93,4.27,20.79,.48,37.12,42.21,76.24,-.62,-2.06,41.2,36.15,-14.19,2.23,0,0,,0,,41.2,31.19037,.09268,2.06,2.4,,91.19,2.34,1.75,.46,.06,.51,.09,156.01899,NSDQ,
MYLAN INC,MYL,623.71002,6806.00976,1664.68994,1820.27001,.50217,2.3385,4.0732,16.51,.09,2.63,4471.25976,2956.07006,747.34002,1060.67004,1576.66003,3868.80004,6909.14,8.58,2959.8999,0,7586.45019,5.74,11.38,1.04,15.39,1.15,92.31,0,17,8,-.01,7.69,0,15.73,-.93,12.1,14.62,16.74,2086.3601,7797.47607,8.19,1.66,.57,3.04,0,1.23,3066.46264,7.5113,8.29,10.17099,11.75,37.45,25.51,14.1,8.91,13.43,4.01,33.41,1.04,49.23,57.2,66.5,-5.14,-4.94,2.28,11.58,16.55,4.07,0,0,,0,,2.28,-2.67457,.02127,3.37,2.87,,152.94,-.35,-1.65,.7,.04,.94,.04,1655.89001,NSDQ,
MYOS CORP,MYOS,,,,,,,,,,,,,,,,,,,,,,,,,,1,100,0,113,6,,0,0,,,,,,1.89999,7.19999,,,,,0,,43.05524,,,,,,,,,,31.11,11.25,-.12,14.75,15.65,79.51,7.98,5.81,,,,-.49,0,0,,,,,,,-.62,,,,,,-.2,,-.15,,,NSDQ,
MYR GROUP INC,MYRG,34.75,56.79,0,186.13999,1.8046,,4.8565,3.87,.04,.58,323.94,204.36999,54.86999,55.59,84.77999,777.84997,902.73,14.23,296.08999,0,0,1.76,8.31,1.24,0,2,50,0,223,1,0,50,0,0,0,14.63,16.13,15.31,234.889,916.63201,12.85,-9.63,0,0,0,1.32,89.17816,5.9503,6.99,10.48499,12.28,12.28,20.05,13,-5.29,.12,10.33,21.56,.44,25.11,27.16,63.39,.16,-7.55,-2.69,.62,-3.31,1.72,0,0,,0,,-2.69,1.43024,.09225,1.56,1.63,,101.14,0,0,.41,.11,.41,.2,63.949,NSDQ,
MAZOR ROBOTICS,MZOR,-20.52001,.09,2.48,2.61999,.4111,1.92279,6.0151,-49.31,-1.03,14.33,69.91999,6.46,-20.36001,-20.36001,-19.75,4.28,19.98,3.02,64.08999,0,0,4.5,,,0,1.5,83.33,0,27,37,0,16.67,0,,0,,,,6.425,25.22999,,64.13,0,0,0,-1.36,95.31333,,-20.27,,-23.19,-23.19,,,-32.96,-30.33,-16.87,13.28,-.08,13.6,25.34,2.65,-6.27,-14.6,29.31,35.59,7.02,-.3,0,0,,,,29.31,-190.65157,-.40158,-.35,-.6,,166.67,0,0,-.07,-.45,-.09,-.37,-6.115,NSDQ,
NANOMETRICS INC,NANO,-14.14001,19.6,41.41999,31.43,.67131,2.525,5.7614,-1.29,-.1,2.04,190.75,48.95,-23.56,-22.91,-14.13001,81.62999,144.31,8.98,207.36999,0,0,1.76,,4.85,0,2.5,25,0,92,7,0,75,0,0,-23.53,17.52,48.52,131.42,47.5,192.05,13.64,-21.09,0,0,0,.94,188.41996,5.7985,1.14,7.1192,-1.07,1.38,-15.36,10,-21.8,-17.22,.83,13.41,-.24,15.77,19.05,41.84,-7.99,-14.71,84.74,-281.82,181.25,.9,0,0,,0,-147.12766,84.74,-417.04038,.10878,.32,-.46,-470,391.67,-13.33,-280.77,.05,-.12,.13,.22,-.55901,NSDQ,
NATL INSTRS CP,NATI,80.51,228.83,172.1,180.67999,.87778,1.7673,6.5239,7.87,.07,3.38,828.59002,225.35,97.16,97.16,165.13,305.23999,1172.56,8.23,1023.08001,0,0,3.86,25.03,,0,2.33,33.33,0,74,5,0,66.67,0,,7.88,28.4,35.74,39.27,313.53698,1244.48205,14.28,2.52,0,1.36,0,1.13,2006.14538,8.91199,7.51,11.65999,9.16,9.93,13.52,,-4.8,-.66,15.13,26.7,.26,31.81,32.97,81.5,-2.03,-3.22,16.22,-16.28,23.61,1.12,.56,1.89,16.589,1.79,-10.49793,16.22,-10.67347,.09534,.89,.75,123.81,173.33,3.57,30,.2,.33,.29,0,159.091,NSDQ,
NATL INTERST CP,NATL,17.56999,8.06999,0,422.77999,.35447,,1.3894,2.43,.03,.92,458.47,1253.13,21.69,22.38999,32.34999,521.73999,568.93,18.58,352.27999,0,12,1.47,23.12,1.38,0,3.67,0,33.33,203,61,0,66.67,0,0,0,15.19,17.21,50.56,149.06799,590.79901,16.54,13.23,0,-1.82,0,.8,179.77049,2.21779,.64,8.6336,3.85,2.95,-19.17,12.5,12.76,18.7,-2.53,21.82,.35,27.3,30.54,62.84,-2.47,-5.11,-30.87,-56.21,136.82,1.8,.43999,1.76,11.56099,1.57,-45.92047,-30.87,-48.76058,.01455,1.59,.64,-59.77,105.05,-5.22,-7.96,.37,.16,.42,.14,23.28499,NSDQ,
NATL AMER UNIV,NAUH,5.44,1.1,0,4.46999,1.4685,,42.10499,2.55,,.61,38.54,14.69999,9.18,10.22,15.86999,36.15999,129.18,2.02,50.77999,0,10.39,1.56,7.09,.9,0,1.67,66.67,0,178,7,0,33.33,0,0,0,,15.7,24.15,30.5,129.944,10.27,8.65,0,,0,1.36,26.28514,9.7775,3.74,14.14,5.33,6.52,-61.07,17.5,-14.96,-10.29,-7.92,3,.01,3.1399,3.97,14.42,2.28,.96,-43.95,10.53,46.34,,.17499,5.73,47.985,2.97,,-43.95,7.93651,.14999,.2,.14,,20,0,0,.05,0,.07,0,11.09599,NSDQ,
NAVIGATORS GRP,NAVG,63.45999,7.17,0,1209.63,.22819,,.73934,7.57,.07,.92,1592.39001,2996.30004,92.26999,102.76999,107.27999,632.45001,917.56,65.94,902.21002,0,270.92999,.93,13.14,.87,0,2,50,0,203,20,0,50,0,0,1.07,12.47,13.06,12.29,256.76998,1013.885,5.64,4.52,3.82,.68,0,.46,292.10543,1.2637,1.73,4.90299,6.45,7.96,-.52,15,-7.84,-2.68,4.4,54.63,1.06,61.47,67.25,54.2,-3.52,-7.9,11.12,63.5,9.46,4.93,0,0,,0,,11.12,-.47052,.05784,4.71,4.05,,128.87,0,.96,1,.15,1.2,.08,66.20999,NSDQ,
NAVIENT CORP,NAVI,1418,424,0,142100,,,,,,,147290,13795,2087,2087,2100,0,6263,9.51,5077,565,136648,1.82,,-1.26,0,1.75,75,0,147,2,0,25,0,-13.56,0,8.18,8.43,,646.5,2553,,0,1.86,1.44,0,,2443.43139,,,,,,,-6.7,,,5.41,15.68,.53,17.34,18,71.55,-3.51,-2.03,,,,2.12,0,.87,,,,,51.01171,.01122,2.06,,94.64,,2.58,4.61,.55,.07,.53,.08,1324,NSDQ,
NEWBRIDGE BANC,NBBC,20.77,7.84,3.52999,1392.15002,.04804,.76396,.06882,17.77,.24,2.61,1429.18994,1568.66003,17.54999,20.06999,23.84,3.10999,86.27,6.2,151.78999,15,229.77,1.17,7.03,,0,2.33,33.33,0,149,43,0,66.67,0,,4.2,11.16,14.54,14.44,25.465,96.90699,-7.57,17.46,0,-3,0,1.71,80.91453,.03373,.85,.08708,4.23,10.86,114.75,,-3.43,-2.76,-3.22,6.61,.14,7.22,8.68,29.54,-3.48,-11.41,179.67,163.64,-29.05,.65,0,0,,0,188.45874,179.67,182.25743,.12302,.5,.71,82.35,107.69,-2.13,-4.55,.06,.07,.15,.04,25.992,NSDQ,
FIRST NBC BANK,NBCB,40.90999,8.43,6.57,2336.62011,.04462,5.1192,.06383,31.38,.3,3.8,2374.84008,2821.87011,21.15999,24.05999,38.29,36.22999,137.44,19.07,339.45001,42.4,55.11,1.64,10.2,,0,2,50,0,149,30,0,50,0,,0,10.36,11.76,12.34,30.7,120.3,,14.92,0,0,0,1.7,290.33233,,1.5,,10.49,14.69,,,-5.77,-2.94,.29,23.26,.66,31.35,35.43,66.47,-2.12,-7.93,64.43,14.85,14.87,3.03,0,0,,,46.7059,64.43,41.36143,.0451,2.66,2.16,101.54,122.22,0,0,.65,.06,.71,.06,55.14099,NSDQ,
NEUROCRINE BIOS,NBIX,-46.09001,0,0,.01999,.01718,,91.219,-1578.96,-15.79,349.82,148.46,11.68999,-46.09001,-46.09001,-42.58001,0,2.92,3.64,120.41,0,2.68,3.69,,,-5.2,1.29,85.71,0,10,76,.04,14.29,0,,-.51,,,,.71499,2.64,,-94.51,-1.96,-20,0,-.13,204.22319,-10.74801,-23.68,-57.37401,-28.5,-28.99,,,39.2,44.11,2.44,8.68,-.2,13.46,19.65,43.58,-1.54,-14.27,-643.95,-962.5,-13.62,-.36,0,0,,0,,-643.95,-1018.12751,-.03784,-.78,-.7,,112.96,.74,-.41,-.17,-.03,-.22,-.07,-42.58001,NSDQ,
NEOSTEM INC,NBS,-38.98,24.98999,1.26999,1.86,.22532,17.471,11.11499,-243.72,-2.66,13,50.81999,9.8,-38.70001,-38.42,-36.82,12.93999,14.67,2.07,62.02,0,.52999,3.01,,,0,1,100,0,64,1,0,0,0,,0,,,,4,17.6,50.16,2.44,0,0,0,1.14,210.64941,-46.605,-54.92,-74.35501,-83,-83.47,,,-13.39,-8.94,35.29,4.59,-.32,6.21,9.37,33.89,3.5,-2.66,17.59,,25.26,-1.4,0,0,,0,,17.59,27.49255,,-1.42,-1.75,,69.57,0,0,-.28,,-.36,,-37.38101,NSDQ,
NBT BANCORP INC,NBTB,61.74,290.54998,0,5337.35986,.04975,,.0716,19.41,.17,2.52,5502.06005,6346.25976,89.94,104.29,122.16,16.29,371.94,18.97,816.55999,0,410.01,1.22,11.41,,0,3,0,0,186,43,0,100,0,,1.51,12.83,13.71,13.51,92.07599,382.841,.01,13.84,0,1.12,0,.95,504.60794,.98681,.97,5.418,6.06,9.1,.75,,-13.62,-10.81,3.96,21.21,.43,23.1,26.39,36.49,-.69,-6.29,58.63,-1.2,2.12,1.8,.81,3.64,.75116,3.68,48.49971,58.63,13.18057,.00419,1.68,1.64,100,97.73,3.61,2.38,.41,0,.43,0,87.72699,NSDQ,
NCI INC-CL A,NCIT,7.73,5.34,0,63.99,2.54999,,5.23769,1.97,.02,.34,70.19,41.18,13.31999,14.1,20.38999,289.38,332.33,6.59,81.8,0,1,1.28,7.76,4.16,-1.45,3.33,0,16.67,122,24,0,83.33,0,0,-5.08,16.51,20.79,15.59,74.483,312.415,-8.71,-9.79,-4.55,0,0,1.48,54.53213,6.5692,5.58,9.87349,7.72,8.65,-28.94,5,29.87,27.19,-4.97,4.5,.1,8.42,12.19,50.98,-5.92,-9.56,108.85,46.34,-32.5,.51,0,0,,0,108.10329,108.85,108.90348,.22697,.41,.55,55.56,90.91,1.47,-3.23,.11,.28,.12,.18,14.02799,NSDQ,
NORWEGIAN CRUIS,NCLH,101.70999,611.33001,43.70999,18.26,.39857,38.025,153.91999,11.74,.04,2.39,182.91999,1075.47998,114.68,397.27999,642.39001,1657.65002,2570.29,13.01,2631.26,0,2841.20996,2.53,13.22,.55,0,1.4,80,0,72,11,0,20,0,-2.72,-1.7,12.77,14.75,18.52,911.41302,3040.09204,,12.92,0,-1.15,0,-.05,966.66632,3.13689,5.43,3.8452,5.74,14.18,,26.8,-11.52,-7.05,3.71,29.65,1.09,32.97,36.91,45.73,1.32,1.51,1440.65,36.17,74.66,2.58,0,0,,,262.0599,1440.65,-39.6559,.02541,2.24,1.29,198.96,130.27,5.93,-4.49,.57,.05,.36,.12,511.79299,NSDQ,
NATL CINEMEDIA,NCMI,41.2,492,0,128,.45072,,3.93199,7.7,.09,2.16,265.5,131.5,150,201.6,255.19999,143.3,462.8,-2.92,-146.10001,0,876,,10.77,3.99,0,1.86,57.14,0,46,10,0,42.86,0,0,-2.47,29.97,35.89,26.18,123.91999,423.36401,4.3,3.12,0,6.22,0,.72,121.44586,4.0299,3.47,7.16279,5.01,,-.18,9,-22.97,-19.99,-1.66,14.65,.22,15.97,20.07,24.35,-2.98,-8.43,193.98,13.79,-32.58,.53,.87999,5.51,7.18109,5.09,,193.98,207.4627,.18608,.44,.57,,114.28,0,-.65,.08,.22,.2,.25,91,NSDQ,
NASDAQ OMX GRP,NDAQ,385,8572,0,393,.16874,,5.41529,22.1,.18,3.32,3163,2800,600,711,836,1316,2092,36.37,6184,0,2589,1.15,12.34,1.38,5,1.9,60,0,,,0,40,0,-15.63,-.13,12.71,14.43,15.15,523.46002,2113.17993,2.56,-18.28,-3.2,-.3,0,1.18,895.3775,3.7025,3.73,5.94299,5.54,7.73,9.62,10.43,1.49,5.45,14.8,29.78,.72,41.97,42.9,92.91,-.59,5.08,50.66,4,11.88,3.3,.51999,1.43,,.72,44.01294,50.66,9.375,.01509,2.91,2.57,102.32,108.52,.73,-1.11,.68,.03,.78,.04,570,NSDQ,
NOODLES & CO,NDLS,6.65999,0,7.21999,4.82999,1.9584,13.26299,71.262,3.39,.02,2.13,18.32999,24.15999,11.43,13.61999,34.95,91.88999,350.92,4.5,124.47,0,6.30999,6.05,18.8,2.06,0,2.6,20,0,156,42,0,80,0,.85,.22,42.75,54.93,68.05,106.55699,408.73498,,16.82,.85,.07,0,1.21,85.18952,,6.65,,9.6,9.89,,26.62,-25.11,-24.22,-13.7,27.22,.15,27.22,48.3,0,-4.09,-19.32,49.37,81.82,23.89,.64,0,0,,,,49.37,29.06976,.02281,.5,.4,,113.18,-.93,0,.15,.03,.15,.07,33.47299,NSDQ,
NORDSON CORP,NDSN,221.80999,1208.28002,198.39999,308.70001,.79588,3.58969,5.25349,14.04,.14,2.98,600.57,235.47,311.11999,325.95999,380.39001,676.77001,1542.92,14.35,887.85998,0,648.26,5.19,17.48,1.52,6.67,2,57.14,0,131,17,0,42.86,0,0,.22,17.37,19.73,21.59,448.05899,1677.64904,15.75,9.46,-.28,.37,0,1.5,790.49468,14.248,11.17,21.61899,14.99,25.43,25.17,13,-3.14,.27,-.8,66.65,1.13,74.5,84.3,44.48,-4.94,-7.66,-3.89,-6.11,11.74,4.29,.62999,.97,16.725,1.04,,-3.89,-1.33886,.01215,3.78,3.37,,113.85,.26,.38,1.13,.02,1.1,.05,273.651,NSDQ,
NEOGENOMICS INC,NEO,2.02999,2.56999,2.29999,18.64999,1.8917,16.847,4.14279,2.88,.03,3.48,27.48999,14.31999,2.18,3.16,7.61999,34.72999,66.47,.46,21.70999,0,3.28999,11.34,39.15,25.95,0,1,100,0,12,4,0,0,0,0,-70.59,60.35,519,103.8,22.468,84.36,24.28,11.02,0,7.5,0,.75,51.57199,-7.523,5.3,-19.719,8.59,9.73,,20,36.99,43.37,71.29,2.1,-.01,5.19,5.53,90.09,.19,42.98,362.68,,-75,.09,0,0,,0,499.25094,362.68,3283.33325,1,.01,.04,-60,-30,-75,-160,.01,-.91,0,1.37,6.493,NSDQ,
NEOGEN CORP,NEOG,28.14999,114.59999,51.16999,51.9,.7592,2.5717,5.22499,11.38,.11,6.36,188.74,24.95999,43.02999,41.13999,48.54999,124.8,247.4,8.35,306.29998,0,0,5.14,44.53,2.67,15.38,2.2,40,0,26,58,-.4,60,0,6.12,0,38.8,46.3,56.25,70.147,285.36099,14.39,19.22,0,5.4,0,1.06,393.62023,10.04199,8.64,11.52,9.79,9.79,12.12,17.33,-8.54,-6.04,16.12,35.8,.22,42.94,50.88,47.35,2.24,2.53,3.61,1.79,22.04,1.11,0,0,,0,5.65468,3.61,3.5307,.0239,.93,.77,111.67,104.69,1.52,-4.96,.21,.05,.22,.03,34.59999,NSDQ,
NEONODE INC,NEON,-13.08,0,0,.95999,.40869,7.6989,4.5591,-323.17,-3.52,23.77,11.13,5.11999,-12.97001,-12.97001,-12.83,1.63999,3.72,.09,6.34,0,0,28.57,,,0,1,100,0,34,14,0,0,0,0,-61.91,4.37,,,1.94,8.25,81.57,-47.92,-22.22,-11.11,0,-.84,99.4421,-1497.36207,-132.08,-279.85401,-250.8,-250.8,,25,-58.8,-58.54,-40.86,2.62,-.09,2.62,7.92,0,-13.25,-17.35,-19.96,-32.14,8.11,.6,0,0,,0,,-19.96,-40.94829,,-.34,-.37,,100,-500,-157.14,-.09,,-.04,,-12.94,NSDQ,
NEPTUNE TEC&BIO,NEPT,-21.28001,1.78999,13.01,16.20999,.18815,1.01979,1.34949,-105.63,-1.19,9.39,60.58,15.07999,-21.28001,-21.28001,-20.95001,16.23999,17.91,1.15,62.25,0,9.64,1.75,,,,,,,10,,,,,,-12.9,,,,4.18499,18.989,14.06,-28.64,0,,,2.09,150.25971,-6.8348,-19.87,-8.4529,-25.08,-27.38,,,-29.02,-30.34,-12.93,2.02,-.11,2.02,4.08,0,-15.48,-27.08,22.79,-40,16.67,-.26,0,0,,0,8.08396,22.79,-6.45324,,-.35,-.42,183.33,183.33,-37.5,-37.5,-.08,,-.11,,-25.13101,NSDQ,
MINERVA NEUROSC,NERV,-3.26,7.90999,0,0,,,,,,,1.80999,1.39999,-3.26,-3.21001,-3.18001,0,,,20.17,0,0,,,,,1,100,0,,,,0,0,,,,,,,,,,,,0,,23.76922,,,,,,,45,,,,5.85,-1.7,6.26,7.53,24.4,-4.57,2.12,,,-334,-1.62,0,0,,,,,-106.32911,-.62348,-3.26,,,,,,-.41,-1.1,-.51,-.11,-5.51101,NSDQ,
