Company Name,Ticker,% Ratio of Q1/Q0,% Change Q1 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Previous EPS Surprise (%),Last EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,% Change Q2 Est. (4 weeks),% Change Q0 Est. (4 weeks),F1 Consensus Est.,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Last Reported Fiscal Yr ,12 Mo Trailing EPS,% Rating Strong Buy or Buy,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Beta,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),Relative Price Change,Avg Volume,Market Cap ,Last Close,Average Target Price,% Rating Downgrades ,Earnings ESP (Expected Surprise Prediction),Current Avg Broker Rec,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Upgrades ,Shares Outstanding ,Debt/Total Capital,Inventory ,Receivables ,Current Liabilities ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Intangibles,Current Assets ,Q(1) Consensus Sales Est. (Mil.),Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Long Term Debt ,Preferred Equity,Sales Growth F(0)/F(-1),Common Equity,F(1) Consensus Sales Est. (Mil.),Book Value,Div. Yield %,Annual Sales,Current ROE (TTM),Price/Sales,Price/Book,Price/Cash Flow,P/E (F2),PEG Ratio,P/E (F1),P/E (Trailing 12 Months),5 Yr Historical Sales Growth,St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),Cost of Goods Sold,EBITDA ,EBIT ,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,Market Value/# Analysts,ROA (5 Yr Avg),% Ratio of Q1/prior Yr Q1 Actual Q(-3),Exchange,# of Analysts in Q0 Consensus,
SINOVAC BIOTECH,SVA,,0,0,0,,,100,,0,0,20140301,.09,0,0,-.06,-166.67,133.33,183.22,,,.01,.01,,-.08,,.02,20131231,.15,100,8.07,4.1,37.78,.69,1.08,2.19,-5.56,-8.5,-11.67,108072.7,311.19,5.6,9,0,,1,0,0,12,65,0,0,0,0,0,55.57,10.95699,14.39,31.92,49.13999,.32789,1.3766,2.2026,12.43,.14,0,,0,.76999,157.32,,,2.47,2.91,2.25905,32.13999,0,49.3,143.63,69.23,2.58,0,72.52,6.86,4.09,2.17,25.96,93.33,,,37.33,1.83,,.06,5.59,1.97749,4.07,21.27,18.01,11.17,,183.22,155.33618,11.88399,10.36999,8.14,311.19198,.97009,50,NSDQ,1,
SMITH & WESSON,SWHC,,0,0,0,,20.69,10,18.78,.43999,.44,20140401,1.47,0,0,1.34,-8.98,20.49,13.46,,41.82,.25,.28,.11,.34,.12,1.43,20140430,1.47,85.71,17.14,10.31,33.38,1.15,1.94,-6.18,-16.95,-6.67,-10.02,1163552,694.75,12.59,17.5,0,,1.57,14.29,0,77,7,0,0,0,0,0,55.18,37.478,86.73999,60.50999,92.54,1.7063,4.69619,9.7192,14.14,.14,0,,0,3.42,239.16999,136.96,,2.58,1.65,.9933,100,0,6.66,166.82,596.25701,3.04,0,626.62,56.16,1.11,4.15,6.27,8.2,,9.41,8.56,13.2,.08609,1.53,34.38,20.374,24.13,367.51,170.67999,148.97999,,13.46,13.45445,110.327,89.3,136.72,138.95079,13.76399,70.5,NSDQ,5,
SIERRA WIRELESS,SWIR,200,,,,,66.67,-150,235.42,-.02,-.02,20140601,.06,,,-.44,-833.33,160,-115.96,,-14.95,-.02,-.04,,-.01,,-.05,20131231,.08,0,26.06,12.12,69.73,1.62,15.01,16.17,24.66,-9.64,-12.7,414483.59,686.56,21.84,21.33,0,0,3,0,11.76,,,-.4,0,0,100,0,31.44,0,8.25,112.48999,127.31999,.96331,38.597,4.51849,.53,.12,0,,0,146.33999,331.76,138.02499,0,2.51,2.54,1.65739,0,0,11.21,362.98999,536.71997,11.69,0,441.86,.72,1.41,1.87,22.37,312,,,273,-4.72,,.07,.7,2.1698,.51,296.20999,14.35999,-13.93001,174.83518,-115.96,102.39057,30.03899,55.02999,-13.93001,686.56225,1.45019,-40,NSDQ,1,
SKYWORKS SOLUTN,SWKS,128.17,14.23,5.13,13.79,5.81,0,0,0,.70999,.71,20140601,1.83,13.52,0,2.73,49.36,20.39,43.92,19.59,24.92,.71,.91,.01,.92,.03,1.84,20130930,2.32,84.62,54.24,23.63,90.3,1.52,1,9.43,25.54,79.52,73.29,4256433,9720.38,51.27,58.31,0,0,1.38,0,0,6,3,0,0,0,15.38,0,189.59,0,229.5,292.70001,179.69999,.82073,5.25589,7.98129,21.87,.16,0,,.03,865.29998,1073.30004,681.32897,0,5.91,4.7,3.06677,0,0,14.24,2101.10009,2254.52905,12.6,.86,1792,19.94,4.74,4.07,21.14,14.57,.96,18.76,22.1,20.45,.01117,3.52,19.83,16.37599,17.95,1025.40002,447.89999,344.5,34.65374,43.92,37.67327,455.20001,278.1,344.5,3240.12719,14.35599,171.7,NSDQ,3,
SWISHER HYGIENE,SWSH,,0,0,0,,0,0,0,-.7,-.7,20140301,-2.5,0,0,-2.07,17.2,26.47,-93.89,,,-.49,-.43,,-.38,,-3.2,20131231,-2.7,0,8.7,3.11,15.03,.41,-1,-6.4,6.5,-23.17,-23.94,70748.25,69.47,3.95,4,0,,3,0,0,115,42,0,0,0,100,0,17.59,1.52209,14.02999,21.01,28.12,.95169,6.3199,10.121,-21.72,-.72,0,,0,14.25,71.3,55.91999,,2.11,2.04,1.28947,2,0,-7.3,127.18,210.13999,6.48,0,213.69,-25.31,.33,.61,.97,,,,,74.19,,-1.06,-24.95,-26.387,-20.67,95.58,-37.82,-153.12,,-93.89,-109.15676,71.26799,-153.04,-153.12,69.47259,-17.146,53.75,NSDQ,1,
STOCK YARDS BCP,SYBT,103.64,3.17,2.75,3.18,0,9.8,3.77,3.91,.55,.55,20140601,1.97,3.18,0,2.24,13.96,6.49,14.54,10,8.7,.53,.57,.02,.57,.04,1.95,20131231,2.11,50,33.77,26.32,41.34,.78,.44,-1.44,6.75,-7.89,-11.76,23891.2,431.06,29.4,34,0,0,2,0,0,148,27,0,0,0,50,0,14.66,12.63799,1.75,1698.54003,2098.96997,.05414,1.19599,.07482,24.19,.22,.81,5.47819,3.09,0,1771.06005,28.30699,,.87,.84,.03371,34.31999,0,.09,229.44,123.857,16.18,2.99,125.47,13.3,3.4,1.82,11.81,12.51,1.31,13.1,13.93,2.31,.01646,2.35,11.17,8.7509,1.31,5.01,50.5,42.54,9.6367,14.54,5.31008,36.247,27.17,38.38999,107.76569,1.20799,111.76,NSDQ,4,
SYKES ENTRP INC,SYKE,132.1,-19.55,-9.51,-4.13,0,-9.09,3.85,3.64,.27,.27,20140601,1.18,-9.61,0,1.36,15.53,-7.09,30.56,10,-5.29,.26,.36,.02,.45,.04,1.25,20131231,1.29,50,22.21,16.94,61.86,1.37,-2.42,-4.17,.8,-7.38,-11.59,167902.2,887.24,20.2,23.75,0,0,2,0,0,,,0,0,0,50,0,43.92,13.123,0,264.91,173.38,1.3679,,4.70629,4.26,.03,0,,0,275.85,513.28002,330.67001,.12,3.01,2.96,1.43251,98,0,12.04,635.70001,1315.04602,14.44,0,1263.46,8.66,.68,1.4,8.25,12.43,1.48,14.82,15.66,8.99,.00888,1.63,7.53,9.9011,5.84,855.26,110.68,53.61999,15.00643,30.56,31.10484,107.62699,37.25999,51.31999,147.87409,7.34539,91.45,NSDQ,6,
SYMANTEC CORP,SYMC,395121.97,402384.47,0,0,0,10.53,10.81,15.48,.40999,.41,20140601,1.77,0,0,1.69,-4.29,12.03,30.27,6.16,5.65,.37,1620,0,.46,.02,1.7,20140331,1.78,23.53,26.96,18.2,65.47,.86,1.16,4.84,7.28,1.51,-1.6,4912805,16555.7,23.935,22.64,0,-2.5,2.79,11.76,0,32,79,0,0,0,64.71,0,691.69,26.54599,14,1007,4306,.50515,85.77799,8.3035,18.45,.13,.6,,.57,6626,5652,1625.47302,.36,1.33,1.31,1.07547,2095,0,-3.33,5797,6717.73583,8.38,2.51,6676,21.67,2.47,2.86,9.51,12.98,2.29,14.13,13.45,4,.02271,1.84,15.85,16.20599,9.45,1149,1738,1240,17.38562,30.27,18.94039,1741.77404,898,1156,3311.13916,8.9224,344680.84,NSDQ,4,
SYNAPTICS INC,SYNA,75.13,-11.61,5.17,-1.18,0,-2.56,5.69,1.59,1.29999,1.3,20140601,3.67,-9.08,.54,4.47,21.89,29.68,-52.76,18.33,18.13,1.23,.98,.05,1.02,.32,3.49,20140630,3.5,90,92.68,38.27,78.59,1.78,12.18,-8.32,39.66,56.4,51.38,1092516,2918.86,81.03,96.6,0,0,1.3,0,0,69,3,0,0,0,10,0,36.02,0,82.30999,195.05,254.39999,1.1079,7.8227,6.0001,13.77,.05,0,,0,143.13999,742.42999,281.45599,,2.92,2.59,1.8281,2.29999,0,42.79,701.15002,1160.38305,19.46,0,947.54,21.07,3.08,4.16,24.39,14.52,.99,18.11,23.15,11.77,.16038,5.58,21.06,19.15399,15.25,511.45001,112.58,74.45899,-12.84421,-52.76,-52.81513,107.93699,46.68,74.44999,486.47708,13.534,83.48,NSDQ,6,
SYNACOR INC,SYNC,,0,0,0,0,200,-600,-90,-.07001,-.07,20140301,-.05,0,0,-.14,-180,-135.71,-225.64,25,,-.07,-.01,,.01,,-.07,20131231,-.11,0,3.3,2.15,19.13,-.9,-1.66,-4.05,4.87,-3.27,-6.37,39517.1,65.24,2.37,2.4,0,,3.5,50,0,48,38,0,0,0,50,0,27.53,1.8536,0,14.56,20.69,1.47549,,7.33599,-3.11,-.01,0,,,1.55999,52.97,25,,2.51,2.56,1.85645,.87999,0,-8.34,52.22999,100,1.86,0,111.81,-6.52,.6,1.27,19.74,,,,,10.18,,-.17,-6.41,17.32799,-4.58,59.61999,3.9,-.75,,-225.64,-135.69555,3.28299,-1.36001,-.94,65.23661,9.6196,50,NSDQ,1,
SYNALLOY CORP,SYNL,101.52,-4.29,-1.34,0,,66.67,3.13,-111.42,.33,.33,20140601,.48,4.35,0,1.11,130.21,-27.27,-86.44,,43.43,.32,.34,.06,.24,.06,.61,20131231,.49,100,17.06,13.3,94.95,.63,2,1.69,15.55,9.83,6.06,6947.5,146.8,16.87,19.5,0,2.94,1,0,50,104,1,-1,0,0,0,0,8.7,15.80799,55.84999,34.08,24.62,1.3248,3.6219,6.0927,1.75,.01,.25999,11.09599,1.92,25.18,99.61,56.9,.18,3.28,1.78,.39317,20.89999,0,11.68,106.08999,228,12.42,1.54,220.75,3.91,.66,1.36,17.35,12.09,,15.27,34.43,16.12,.07039,1.39,3.1,4.62349,2.3,201.53999,8.60999,3.5,-49.20926,-86.44,-58.39244,8.449,1.75999,2.15,73.40136,3.49699,167.5,NSDQ,2,
SYNTEL INC,SYNT,97.52,5.36,6.31,1.73,0,11.2,15.57,15.71,1.40999,1.41,20140601,5.24,5.34,-.28,5.6,6.79,18.02,24.47,17,19.99,1.22,1.38,.02,1.43,.02,4.97,20131231,5.8,37.5,96.77,71.34,63.43,1.57,1.27,2.8,11.95,-3.83,-7.52,74359.15,3652.75,87.47,94.2,0,0,2.25,0,0,110,13,0,0,0,62.5,0,41.76,14.44699,0,101.97,124.27999,.88751,,8.682,27.6,.27,0,-14.47001,.41,.89999,843.10998,237.76899,.16,7.73,6.78,5.96346,138.36999,0,13.93,722.53997,932.23297,19.36,0,824.77,32.04,4.15,4.52,15.6,15.04,.92,15.63,15.08,17.55,.00651,5.82,28.2,30.29599,23.63,460.57,300.29,285.82,21.00177,24.47,18.38417,234.128,219.64999,285.82,521.82098,25.37599,96.83,NSDQ,8,
SYPRIS SOLUTION,SYPR,,,,,,-500,-433.33,-216.67,.01999,.02,20140601,-.15,,,,,-136.59,100.6,,,.03,,,,,,20131231,0,100,6.1,2.57,47.31,.39,-10.55,-15.87,9.28,38.56,37.28,56296.55,87.01,4.24,6,0,,2,0,,,,,0,0,0,0,20.52,28.46899,34.41999,38.52999,60.49,2.0236,8.1477,6.44899,-.56,-.03,.07999,,.97,0,97.02999,,.4,1.46,1.04,.39808,24,0,-9.04,56.25,,2.84,1.89,310.71,.16,.27,1.5,5.31,,,,,2.45,,,-2.35,-3.23601,.06,280.66,9.84,-9.46001,79.5862,100.6,-425,16.31299,-9.88001,-9.98,,-1.10001,,NSDQ,1,
SYSOREX GLOBAL,SYRX,,0,0,0,,,85.71,,-.02,-.02,20140301,-.08,0,0,-.22,,-100,-147.9,,,-.14,-.06,-.24,.02,2.12,,20131231,,100,13,2.4,13.58,,.52,3.78,-17.42,-20,-25.39,23666.2,74.96,3.84,8.5,0,,1.5,0,0,37,11,0,0,0,0,0,19.52,3.00749,.07,9.57999,27.44,1.57449,337.23599,6.33769,-5.28,-.08,0,,,9.93999,19.57999,19.225,,.79,.71,.36188,.28999,0,1093.25,6.28999,76.44999,.53,0,50.57,-54.52,1.22,7.19,,30.72,,,,,-.16445,.13,-52.54,,-8.31,38.31,-3.23001,-4.22,,-147.9,-517.39136,-3.54,-4.26001,-4.53001,37.48031,,150,NSDQ,2,
SYNUTRA INTL,SYUT,,,,,,120,13.33,125,.31,.31,20140601,.54,,,,,212.5,189.23,,,.15,,,,,,20140331,.77,,9.79,4.74,24.75,2.32,-1.64,-11.52,18.15,-32.55,-35.03,31187.15,343.23,5.99,,,,,,,,,,,,,,57.3,73.331,83.98,21.11,310.26,.74212,2.6228,14.88199,8.35,.08,0,,0,15.22,285.25,,,.92,.65,.58067,168.41999,0,39.42,61.25,,1.07,0,370.53,65.6,.92,5.6,7.42,,,,7.78,6.75,,,16.19,-14.381,6.19,217.02,61.97999,46.63,148.41128,189.23,148.40325,46.27899,30.92,30.46999,,-3.60431,,NSDQ,1,
SIZMEK INC,SZMK,,,,,,,20.34,,-.47,-.47,20140301,,,,,,,,,,-.59,,,,,-.54,20131231,,100,13.1,8.91,15.75,,5.28,-3.33,-.31,,,85761.05,290.92,9.57,14,0,,1,0,0,,,0,0,0,0,0,30.4,0,0,47.36,21.67,,,,,-.03,0,,,218.39999,79.01999,,,6.94,3.65,1.461,0,0,14.56,293.13,,12.06,0,161.13,,,.79,,,,,,,,,,,,53.97,16.98999,-6.84001,,,98.02266,19.12,-4.71001,-6.89,,,,NSDQ,1,
SOLAZYME INC,SZYM,82.35,2.33,-2.26,-16.88,0,-35,-15.91,-19.28,-.51,-.51,20140601,-1.67,5.41,0,-1.81,-8.38,-18.44,-42.4,6,,-.44,-.42,,-.35,,-1.74,20131231,-1.93,80,14.7,8.05,18.65,1.71,-4.03,-9.45,.22,-14.69,-17.78,851732.63,705.81,9.29,13.08,0,0,2.1,20,-14.55,93,5,.27,0,0,0,0,75.97,42.46699,9.82999,10.44999,25.29,.19618,1.0266,4.77729,-268.66,-2.93,0,,0,0,191.80999,21.933,1.25,10.53,7.2,6.78252,93.44999,0,-9.88,138.94,81.884,1.74,0,39.75,-91.4,14.05,5.33,,,,,,-.58,,-.9,-57.96,-40.18501,-46.06,6.38,-92.7,-101.02,-34.09671,-42.4,-39.9976,-98.889,-116.38,-108.15001,705.80773,-36.1,100,NSDQ,1,
TRANSACT TECH,TACT,600,0,0,0,,-50,-71.43,-37.86,.01999,.02,20140601,.54,0,0,.35,-35.19,0,-26.89,,16.16,.07,.12,,.12,,.6,20131231,.33,100,14.78,7.14,2.49,.6,-18.68,-27.57,-27.14,-41.5,-44.84,25320.55,61.05,7.33,11,0,,1,0,0,69,1,0,0,0,0,0,8.33,0,13.5,13.22999,7.34999,1.40579,2.60319,4.40299,6.43,.08,.27,,.94,4.46999,32.22,17.2,,4.43,2.55,.74693,0,0,-12.06,32.52,62.02,3.89,4.37,60.14,8.82,1.08,1.89,9.44,14.1,,20.94,22.21,1.32,,.52,11.52,13.125,6.94,35.04,8.32999,6.59,16.68066,-26.89,36.18784,6.399,4.92999,6.53,61.05157,10.015,66.67,NSDQ,1,
TASER INTL INC,TASR,133.33,3.7,3.16,-11.19,0,50,40,68.21,.07,.07,20140601,.36,-3.23,-11.11,.33,-9.26,50,26.65,30,3675.18,.05,.09,.06,.1,.1,.31,20131231,.35,75,20.5,8.6,31.76,.14,2.65,10.14,-5.13,-22.04,-25.76,1224558,666.87,12.38,15.5,0,0,1.75,0,12.5,35,7,-.25,1,0,25,25,53.87,.03619,11.1,22.47999,23.12,1.00569,4.29069,6.9004,12.52,.13,0,,0,5.55,97.45999,39.248,0,5.05,3.74,2.76297,.05999,0,20.11,108.33999,154.82899,2.05,0,137.83,17.11,4.49,6.04,26.21,29.24,1.26,37.9,35.37,9.36,.03534,.42,17.1,6.84399,12.59,51.97999,33.45,28.03,39.71332,26.65,23.82892,24.496,18.23999,28.03,222.29115,5.05,93.33,NSDQ,3,
CARROLS RESTRNT,TAST,20,0,0,0,,6.25,0,10.94,-.05001,-.05,20140601,-.47,0,0,-.34,27.66,-104.35,41.62,,-23.58,-.05,-.01,,-.04,,-.58,20131231,-.52,100,7.95,5.34,59.77,1.25,-8.12,-7.88,7.14,4.39,-.86,373200.94,242.95,6.9,10,0,,1,0,0,152,2,0,0,0,0,0,35.21,70.555,6.48999,5.46999,50.63999,1.9867,83.26599,97.88999,-1.97,-.02,0,,0,111.12999,28.67,177.49699,1.22,1.71,.44,.32997,167.55,0,23.08,77.19999,670.39398,3.02,0,663.48,-13.67,.37,2.28,7.27,,,,,-5.58,,-.12,-5.3,2.45729,-3.61,516.44,27.57999,-5.07001,25.18645,41.62,28.44279,21.88599,-13.51001,-23.91,242.94898,1.66519,11.11,NSDQ,1,
LIBERTY TAX INC,TAX,,0,0,0,0,75,-3.96,,2.18,2.18,20140401,1.49,0,0,1.86,24.83,17.32,20.53,20,17.11,-.54,-.69,,.31,,1.5,20140430,1.2,100,35.77,16.36,97.11,.27,.28,3.93,31.58,44.9,40.21,27596.9,409.99,35.21,37,0,,1,0,0,39,9,0,0,0,0,0,11.64,16.44799,0,65.65,55.77999,.81049,,1.83399,10.9,.14,0,,,17.29,125.52999,8.55,,2.25,2.25,1.0735,21.69,0,8.19,110.18,177.89999,9.06,0,159.7,20.33,2.57,3.88,13.73,15.65,.95,18.93,29.34,24.67,,2.25,11.75,27.38599,8.84,0,46.59,36.97999,,20.53,24.7446,31.183,21.97999,35.63,409.98522,17.565,150,NSDQ,1,
MEDALLION FINL,TAXI,166.67,0,0,0,,-46.15,-34.78,,.15,.15,20140601,.55,0,0,.97,76.36,27.91,4.15,,-2.46,.23,.25,,.26,,,20131231,.65,0,17.74,11.14,5.61,.94,3.32,-.95,-13.91,-19.79,-22.97,255691.95,289.61,11.51,15,0,,3,0,0,142,37,0,0,0,100,0,25.16,53.462,0,358.92999,6.59999,.06327,,.10249,35.71,.34,.88999,9.5115,7.35,5.05999,411.1,,,101.42,62.29,7.90454,314.95001,0,11.96,273.48999,,10.97,8.34,36.21,5.9,7.42,1.05,21.38,9.84,,11.87,17.71,-5.03,,1.17,2.28,1.9095,2.6,0,21.79,20.54,2.15516,4.15,39.04109,13.439,12.18,12.18,289.61462,1.88639,125,NSDQ,1,
TAYLOR CAP GRP,TAYC,169.45,.83,1.12,,0,-3.03,-33.33,-14.09,.23999,.24,20140601,1.61,0,0,1.5,-6.83,-13.9,-38.64,9,,.36,.41,.05,.38,.07,1.51,20131231,1.23,25,26.75,20.75,9.67,1.7,.05,-3.09,2.4,-19.75,-22.91,49780,626.46,21.33,22.92,0,-2.44,2.75,0,0,208,23,0,0,0,75,0,29.37,14.781,473.89001,3566.51,5134.66015,.05835,.02543,.09521,12.82,.17,0,,0,216.11,4131.20996,90.18499,.22,.83,.71,.01768,86.59999,100.01,4.23,364.54,334.46701,13.6,0,355.62,11.54,1.84,1.57,10.07,,1.58,14.22,17.34,9.46,.00666,,7.46,2.4103,.75,15.48999,121.87,109.06999,-28.51383,-38.64,.16154,62.10699,62,99.87999,208.82069,.1481,119.61,NSDQ,3,
BANCORP BNK/THE,TBBK,27.78,-80,-109.64,-15.83,,-96.3,-30.77,-23.56,.09,.09,20140601,.66,-56.25,0,-.04,-106.06,32,-68.51,,85.38,.13,.03,1.41,.07,1.41,.59,20131231,.42,33.33,20.04,8.99,.27,1.1,-5.05,-21.63,-40.89,-49.64,-50.82,430555.19,340.1,9.02,14,0,0,2.67,0,0,183,36,0,0,0,66.67,0,37.71,3.53029,69.9,1933.39001,4294.20996,.04607,.11383,.10143,9.04,.13,0,,0,7.61,3241.23999,50.491,,.72,.74,.28828,13.39999,0,29.72,359.6,206.05299,9.74,0,189.98,4.47,1.71,.93,9.03,8.93,,,21.48,21.22,-3.182,1.01,4.31,3.79949,.36,10.15999,52.08,39.52999,-10.25028,-68.51,51.08302,37.65999,25.11,38.93,170.04956,.35089,19.23,NSDQ,2,
TRANSGENOMIC,TBIO,89.47,-6.25,-4.88,,0,-27.66,-7.55,-12.28,-.57,-.57,20140601,-.19,-10.87,-6,-2.15,-1031.58,89.45,-54.36,20,,-.53,-.51,,-.51,,-2.04,20131231,-1.94,100,7.32,3.1,20.37,.8,.51,6.17,-4.58,-27.5,-31.95,18926.45,29.12,3.96,10,0,0,1,0,0,23,15,0,0,0,0,0,7.35,20.787,3.95,5.30999,8.61999,.79151,3.48489,4.4145,-63.43,-.58,0,,0,16.11,11.82999,6.5,,1.58,.91,.29814,6.30999,.01999,-12.5,11.42,25.551,1.94,0,27.54,-130,1.13,2.04,,,,,,9.1,,-2.11,-78.94,-32.12401,-56.66,15.03999,-12.66,-15.4,-81.81621,-54.36,-92.06731,-13.247,-15.98,-16.04001,29.12184,-19.198,70.8,NSDQ,1,
TERRITORIAL BCP,TBNK,93.75,5.63,6.32,4.71,,12.12,14.29,13.35,.4,.4,20140601,1.49,5.63,0,1.51,1.68,2.76,-1.55,,10.85,.35,.38,.02,.38,.02,1.45,20131231,1.53,0,23.89,19.84,20.25,.23,2.79,.83,3.25,-10.95,-14.47,24621.4,204.12,20.66,24,0,0,3,0,0,183,44,0,0,0,100,0,9.88,6.62569,2.21,860.84997,1384.64001,.0403,2.47309,.07552,22.44,.23,.51999,27.926,1.68,0,938.41998,14.19999,,.67,.68,.05442,15,0,-3.46,212.13999,56.79999,21.03,2.9,64.89,6.85,3.15,.98,13.12,13.29,,13.64,13.5,.99,.00466,1.55,6.4,5.8053,.9,4.28999,26.85,25.46999,-3.15282,-1.55,-1.28119,16.027,14.64,23.48999,102.0604,.8834,96.15,NSDQ,2,
THERAVANCE BIO,TBPH,,0,0,0,,,,,,,,,0,0,-3.39,,,,,,-.56,-1.46,,-1.58,,,20131231,,50,34.87,23.51,55.28,,6.28,-1.88,,,,175979.25,958.67,29.79,27.5,0,,2,0,0,10,110,0,0,0,50,0,32.18,,,,,,,,,,0,,,,,1.07599,,,,,,,,,3.232,,0,,,,,,,,,,,-.13161,-6.12,,,,,,,,,,,,,479.33599,,,NSDQ,2,
TEXAS CAP BCSHS,TCBI,104.98,.39,.11,-1.31,0,-17.81,2.9,-8.5,.70999,.71,20140601,2.72,-2.41,0,2.79,2.66,-11.4,3.58,10,50.42,.69,.75,.04,.74,.03,2.86,20131231,2.72,50,66.85,43.87,30.72,1.02,-2.15,-2.53,-3.23,-18.12,-21.07,441390.59,2193.05,50.93,61.69,0,0,2,0,3.23,224,4,-.07,0,0,50,0,43.06,46.54199,2784.55004,8680.23046,9428.73046,.04292,.02156,.04947,24.27,.25,0,,0,21.28,11618.70996,131.82499,.99,1.22,.94,.01632,1079.43005,150,10.68,946.34997,509.62799,25.84,0,488.65,12.38,4.24,1.97,15.75,15.15,1.82,18.24,18.72,16.36,.01749,3.36,6.11,5.3737,1.04,21.35,203.05,191.55,-8.33032,3.58,.31491,132.546,121.05,187.8,168.69583,.91251,100.73,NSDQ,13,
TRICO BANCSHRS,TCBK,118.89,-8.55,-10.08,-2.48,0,18.42,-25,-5.16,.3,.3,20140601,1.69,-6.98,0,1.52,-10.25,43.22,1.13,10,37.27,.4,.36,.17,.4,.09,1.79,20131231,1.52,75,28.76,20.5,21.67,1.49,-.36,-5.99,-2.62,-21.43,-24.8,73955.8,359.4,22.29,29,0,0,1.75,0,0,158,10,0,0,0,25,0,16.12,15.725,2.26999,1640.27001,2411.41992,.05284,1,.08733,17.33,.19,.41999,-1.1077,2.33,16.39999,2240.90991,41.352,,.9,.93,.24814,47.56999,0,-2.25,250.94,156.923,15.95,1.97,143.39,9.88,2.51,1.4,10.87,11.34,1.47,14.7,14.66,1.01,.07865,1.97,8.23,5.4949,.92,3.44,52.63,47.04999,11.66949,1.13,44.2338,32.979,27.38999,45.79999,119.80133,.67884,79.26,NSDQ,4,
COMMNTY FIN CP,TCFC,128.57,-12.2,-12.74,-10.53,,2.86,-26.32,-4.72,.28,.28,20140601,1.88,-9.52,0,1.37,-27.13,,,,,.38,.36,,.38,,1.97,20131231,1.54,100,23.75,18.75,57.6,,-5.96,-5.21,-1.01,4.45,1.1,1261.7,101.36,21.63,24,0,0,2,0,0,183,24,0,0,0,0,0,4.69,,,,,,,,14.49,,.5,-29.54701,,,,,.8,1.02,,,,,,,,,.46,43.85,6.87,2.29,,,12.72,,15.79,14.05,,,1.7,,,.62,,,,,,,,,,101.35816,,65.45,NSDQ,1,
TCP CAPITAL CP,TCPC,94.5,-1.56,-.91,-2.21,0,2.63,8.11,16.3,.4,.4,20140601,2.1,-1.5,-1.06,1.52,-27.52,16.02,48.73,5,,.37,.38,.03,.39,.05,1.62,20131231,1.77,66.67,18.31,14.99,70.48,.25,1.35,-2.26,8.24,3.34,-1.19,446284.91,627.35,17.33,17.5,0,0,2,0,0,142,17,0,0,0,33.33,0,36.2,0,0,10.35,18.95999,.1001,,7.94859,72.19,.91,1.42999,,,0,33.34,24.245,,7.6,1.76,1.21255,0,134.5,33.37,550.78002,95.32499,15.38,8.31,69.61,12.2,7.33,1.13,,10.87,2.28,11.39,9.79,,.02952,1.59,8.9,,7.71,0,-2.67001,56.49,55.43368,48.73,130.29421,-4.829,63.4,55.29999,125.4692,,74.12,NSDQ,5,
THL CREDIT INC,TCRD,,0,0,0,0,-21.21,-6.06,1.98,.31,.31,20140301,1.37,0,0,1.34,-2.19,-.72,47.56,5,32.05,.34,.35,.02,.34,.03,1.45,20131231,1.4,57.14,16.97,12.9,9.58,.65,.53,-3.2,3.02,-19.41,-22.4,166174.84,450.6,13.29,15.25,0,,1.86,0,0,142,12,0,0,0,42.86,0,33.9,40.297,0,9.02,12.47,.125,,8.8561,55.08,.57,1.35,51.30799,7.17,0,22.71999,23.076,,2.91,1.82,1.09863,204.3,0,40.52,452.94,90.08899,13.34,10.23,74.65,9.82,5.55,1,11.71,9.72,1.98,9.92,9.49,54.28,.00817,1.37,7.08,7.19119,6.89,0,39.75,42.66999,,47.56,54.54544,38.469,42.66999,42.66999,75.09957,7.0527,70.61,NSDQ,6,
