Company Name,Ticker,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales,Cost of Goods Sold,EBITDA ,Price/Cash Flow,PEG Ratio,P/E (F2),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),P/E (Trailing 12 Months),EBIT ,Pretax Income ,Preferred Equity,Current Liabilities ,Long Term Debt ,Current Assets ,Intangibles,Inventory ,Receivables ,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Book Value,Asset Utilization,Inventory Turnover,Net Income ,Cash Flow ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,Rank in Industry (of ABR),% Price Change (YTD),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,Last Close,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),52 Week Low,% Price Change (12 Weeks),Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),52 Week High,Market Cap ,Last EPS Surprise (%),P/E (F1),% Rating Change - 4 Weeks,% Change F1 Est. (4 weeks),Div. Yield %,Avg Volume,Shares Outstanding ,Change in Avg Rec ,% Rating Hold,% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,St. Dev. F1 / F1 Consensus,% Change Q0 Est. (4 weeks),12 Mo Trailing EPS,Last Reported Fiscal Yr ,% Rating Upgrades ,% Rating Downgrades ,Common Equity,Average Target Price,Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,F2 Consensus Est.,Exchange,
MOSYS INC,MOSY,115.38,2.31,32.6,-36.94,-36.94,-22.04701,-35.69,-20.053,163.79899,4.4,.46999,-23.05,,,,107.14,-11.32,19.7,-13.51,22.5,,-27.69,-24.1,7.8667,1.7833,,-24.72,-24.72,0,2.34999,0,38.36999,24.78,0,.14,0,,13.18,16.33,1.43,.06483,4.4783,-24.79001,-22.125,10.21368,-13.51,-9.79683,0,,0,-5.64,-550.36,27.91099,16.26808,19,-40.04,4.75,9.24,1.75,14.8,3.31,1.33,100,0,69,2.86,.3,-42.59,-.16,5.9,163.8,12.5,,0,6.35,0,196618.41,49.49,0,0,0,6.25,-17.07,0,-.15,,-.15,,-.52,-.59,,0,-.55,20131231,0,0,75.41,5.83,-23.08,1.06,-.14001,-.14,20140601,-.53,-.48,NSDQ,
MOVE INC,MOVE,183.33,5.37,2.46,-2.8,1.58,3.5604,-1.28,2.5373,192.60798,227.03,45.86,16.87999,24.9,,63.48,-66.67,-111.11,25,-401.34,25,,13.95,.58,253.464,65.19599,,.46999,.46999,0,40.61999,82.44999,138.63999,66.02999,0,11.76,43.79899,,3.36,3.41,2.72,1.0891,,.56999,22.89599,-89.85766,-401.34,-195.56922,0,,0,0,1.15,18.76099,3.12358,1,-8.69,-2.14,-.21,1.65,57.18,14.6,1,100,0,114,9.66,51.14,-12.59,-.11,18.3,577.82,0,,28.57,0,0,873366.13,39.58,0,0,0,0,0,78.57,.07,.21,.09,.06,0,-.02,-1.249,0,-.09,20131231,0,0,108.83,19.25,12.5,278.13,-.11,-.11,20140601,.15,.23,NSDQ,
MOTORCAR PARTS,MPAA,174.24,3.03,1.3,20.22,10.88,2.5531,7.05,2.1066,111.91599,258.67,177.1,39.4,11.93,.69,11.28,,19.65,257.65,217.32,20,22.23,-36.33,27.6,311.37799,74.47899,16.25,32.09,13.81,0,103.18,79.43,125.26,3.24,54.77999,22.28,42.013,,1.21,.68,7.34,.87458,3.7962,107.34999,27.88699,217.30958,217.32,,0,,0,.42,8.06,39.52199,.46714,1,15.34,-7.75,-6.47,1.58,67.14,22.26,1,100,0,55,8.47,-9.29,10.42,.25,29.01,335.75,5.26,13.88,0,0,0,145674.05,15.08,0,0,0,0,0,0,.38,.04,.42,.03,1.36,1.6,.01298,0,1.37,20140331,0,0,109.62999,30.33,50,33.81,.4,.4,20140301,1.34,1.97,NSDQ,
MELCO CROWN ENT,MPEL,119.29,3.72,3.48,18.45,11.81,3.81629,9.92,3.14289,1676.73278,5087.18,3558.57006,1134.90002,16.02,.9,15.94,,26.19,75.32,135.96,21.74,176.28,24.75,38.22,5625.19091,1376.37402,21.28,733.10998,580.45001,0,1237.96997,2523.90991,3148.43994,1037.75,18.15999,287.92001,36.018,,2.44,2.53,8.94,.60737,205.397,578.01,1150.92102,44.98456,135.96,,.01,,0,.11,16.34,19.2,2.29598,8,-15.35,-9.88,1.5,2.23,41.29,33.2,1.15,92.31,0,90,24.79,3.85,-18.96,.37,45.16,18444.06,9.76,19.49,0,-1.99,.39,3437454.5,555.54,0,7.69,-1.33,-3.19,-1.61,0,.42,.08,.46,.13,1.25,1.7,.05375,-6.65,1.56,20131231,0,0,4924.97998,49.42,7.5,13.34,.44999,.45,20140301,1.35,2.08,NSDQ,
MAGELLAN PETE,MPET,125,1.61,11.08,-35.34,-22.44,-6.23321,-17.67,-4.95241,43.53499,7.07,0,-19.5,,,,,-164.13,-183.67,-28.38,,,-48.44,-28.61,5.69999,1.5,,-21.03001,-21.03001,0,5.82,0,35.29,2.17,.55,.85,31.20499,,5.62,,1.19,.0934,0,-19.76001,-18.237,-174.5942,-28.38,,0,,0,,-189.16,3.0778,,4,86.41,-9.86,-7.69,1.63,61.74,1.92,2,50,0,49,1,-20.99,78.46,-.07,2.49,87.07,,,0,0,0,219077.8,45.35,0,50,0,0,0,,-.1,,-.1,,.46,-.3,-.45543,0,-.37,20140630,0,0,42.43999,3.45,,,-.07001,-.07,20140301,-.41,-.39,NSDQ,
MONOLITHIC PWR,MPWR,142.11,4.76,6.19,9.38,9.38,7.82779,8.3,6.87849,318.42242,238.09,110.19,36.59999,46.37,2.4,35.86,158.82,67.64,27.91,114.2,18.67,2.56,11.35,6.76,280.39999,77.55,53.56,24,24,0,38.47999,0,292.07998,0,39.72999,23.72999,0,0,7.3,6.56,8.67,.69558,2.89829,22.88999,33.983,45.33332,114.2,92.76539,.02,,0,.1,11.93,11.54899,5.94126,7,18.98,-4.32,.34,1.49,89.07,41.24,1.5,83.33,0,50,26.09,12.92,13.91,.17,43.1,1592.11,0,44.73,0,2.67,1.45,287129,38.61,0,16.67,9.17,5.47,7.68,0,.27,.04,.26,.08,.58,.92,.03009,0,.77,20131231,0,0,323.39001,41.8,91.67,19.51,.17,.17,20140601,.55,1.15,NSDQ,
MONROE CAPITAL,MRCC,132.41,.95,6.05,8.24,5.09,,5.02,,25.42899,18.21,0,11.78999,15.37,1.95,9.2,,20.88,653.33,139.01,5,,967.58,,28.21999,7.27229,11.26,11.78999,8.89,0,3.64,83.94,15.23999,0,0,.62999,42.708,,3.05,4.19,13.92,.10271,,9.76,8.64999,938.29791,139.01,,,,1.36,.54,48.92,15.50599,4.01373,9,8.93,-2.49,-2.49,-.34,63.12,13.29,1.29,85.71,0,150,11.75,2.47,4.29,.33,14.19,127.14,6.67,9.73,0,0,10.23,23546.35,9.57,0,14.29,0,0,0,0,.36,.01,.36,.01,1.12,1.37,.01427,0,1.18,20131231,0,0,138.08999,13.92,18.52,.86,.31999,.32,20140301,1.13,1.44,NSDQ,
MERCURY SYSTEMS,MRCY,50,1.11,1.69,.41,.41,5.7923,.36,4.4334,73.4892,208.79,126.12,-5.93,30.02,7.07,44.2,,248.81,-122.22,-6.72,6.25,-30.19,-14.75,2.97,242.08799,57.5,276.25,-23.13,-23.16,0,30.80999,0,146.3,211.38,37.43,50.61,0,,4.58,,9.99,.58568,3.493,-13.2,11.899,-158.38125,-6.72,,0,,0,,.62,4.189,,11,.91,-10.38,-2.13,1.25,44.95,11.05,2.4,40,0,73,8.47,-7.61,-3.39,-.04,14.21,367.45,175,44.2,0,0,0,68102.9,33.25,0,60,0,0,0,0,0,7.07,.05,.39,-.17,.25,.37094,0,.04,20140630,0,0,328.5,13.1,57.14,104.11,.09,.09,20140301,-.18,.25,NSDQ,
MEMORIAL RESRC,MRD,,,,,,,,,884.72998,,,,,,21.2,,,,,,,,,496.76599,143.20599,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,,-8.12,-7.78,,19.11,22.98,1.11,100,0,52,22.16,,,.16,26.45,4423.65,,34.2,,,0,875666.69,192.5,0,0,,,,,.21,.12,.22,.12,,.67,.17011,,,20131231,0,0,,32,,,,,,,1.08,NSDQ,
MARKIT LTD,MRKT,,,,,,,,,1509.04968,947.9,,,,5.83,19.98,,-.97,,,3.2,,,,1021.74798,250.72,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,-6.09,-1.44,,0,25.31,2.43,28.57,0,,25.31,,,.31,26.98,4527.15,,18.66,,,0,559900.63,178.87,.1,71.43,,,,,.32,,.33,,,1.36,.01702,,,20131231,0,0,,29.13,,,.38999,.39,20140301,1.37,1.27,NSDQ,
MARLIN BUS SVCS,MRLN,105.56,1.45,.83,11.64,11.02,3.88879,2.69,1.5023,237.85699,83.67,0,34.59,9.17,1.04,11.43,100,9.63,48.35,16.56,12,57.74,17.99,8.21,75.09999,18.6,12.6,26,26,0,521.28997,0,86.91999,0,0,0,0,,.21,.17,12.73,.43217,,16.22999,26.1,38.83661,16.56,25.72449,.95,34.416,.41999,.19,6.12,,.16674,4,-26.98,-1.45,-.92,.91,10.2,18.4,1,100,0,142,17.17,-4.37,-30.1,.37,29.23,237.86,2.7,12.43,0,0,2.39,22123.25,12.93,0,0,0,0,0,0,.38,,.38,,1.36,1.48,,0,1.46,20131231,0,0,163.02999,,0,1.47,.37999,.38,20140601,1.35,1.61,NSDQ,
MARTEN TRANS,MRTN,122.5,1.85,1.02,7.95,7.95,7.4993,5.41,5.00489,135.01699,659.21,286.70001,116.84999,7.11,,16.24,122.5,11.11,9.76,-2.11,,15.31,3.25,7.25,686.92901,178.891,23.53,52.38,52.38,0,53.02,0,107.34999,0,0,75.01,0,,1.9,2.02,10.93,1.25489,,30.13999,94.61699,10.56492,-2.11,-2.72543,.35,21.79599,.08333,.05,4.31,8.82129,.60995,10,.25,-10.08,-10.4,.8,48.01,20.24,2,60,0,140,16.13,-9.96,-4.03,.26,24.69,675.09,-7.69,20.24,-9.09,-3.47,.49,159681.3,33.35,.17,40,-1.94,-3.29,-3.56,,.29,.03,.3,.08,.94,1,.03807,-2.24,.86,20131231,0,0,359.13,25,-5.88,-5.31,.23999,.24,20140601,.9,1.25,NSDQ,
MIRATI THERAPTC,MRTX,87.65,18.02,,-1107.01,-1107.01,-209.29401,-151.4,-84.936,61.21924,0,0,-52.71,,,,,33.9,-56.33,-145.82,,,-99.94,,,,,-52.88001,-52.88001,0,38.65,0,64.20999,0,0,0,0,,1.31,1.66,1.01,,,-52.85,-51.66401,-160.60157,-145.82,,0,,0,,,,1.66131,17,9.26,-4.32,.22,1.73,60.17,18.17,1,100,0,12,8.15,4.91,4.6,-.69,24.8,244.88,-28.66,,0,0,0,38346.35,13.48,0,0,0,0,-4.46,,-.71,-.06,-.8,-.23,-4.68,-3.1,-.19318,0,-5.65,20131231,0,0,25.87999,27.75,-29.41,-155.75,-1.01,-1.01,20140301,-4.69,-2.5,NSDQ,
MARVELL TECH GP,MRVL,144.45,1.4,1.87,9.4,9.4,12.118,7.95,10.362,1129.89807,3404.4,1663.72998,453,12.59,1.27,14.32,,22.83,14.06,39.9,11.75,-1.12,7.44,3.41,3898.75097,961.69201,16.27,306.25,306.25,0,651.29998,0,2839.21997,2078.97998,347.85998,453.48999,0,,4.36,3.83,9.51,.68009,4.9878,315.32,521.20202,2.85081,39.9,,.88,,.23999,.09,11.69,8.0555,3.12892,7,-7.23,-8.82,-4.44,.99,45.16,13.34,2.5,38.89,16.67,173,10.96,-13.38,-11.19,.22,16.23,6779.39,-4.55,14.88,-4.65,0,1.8,6094661,508.2,0,44.44,0,0,0,0,.22,.04,.25,.11,.7,.9,.06053,1.09,.82,20140131,0,0,4675.91015,16.65,22.22,18.56,.20999,.21,20140401,.73,.93,NSDQ,
MICROSEMI CORP,MSCC,120.93,2.13,2.1,14.63,8.51,8.9039,7.5,7.65889,1138.65454,975.9,418.75,201.05999,8.68,1.02,9.73,113.04,11.15,-1.88,-93.93,13.5,23.77,-3.61,23.12,1136.73999,301.82,14.53,86.5,56.06,0,133.22999,676,622.63,1105.41003,161.97999,162.1,40.498,.68,3.84,3.46,11.23,.52947,2.58579,43.66999,257.55999,247.18569,-93.93,-19.10011,0,,0,.04,14.16,6.072,2.24086,5,-3.89,-12.61,-6.29,1.66,29.96,23.98,1.33,83.33,0,50,22.5,1.14,-7.99,.47,27.44,2277.31,-2.13,13.74,0,.87,0,358511.91,94.97,0,16.67,-1.83,1.96,.2,0,.52,.03,.54,.01,1.58,1.75,.00405,-1.06,1.65,20130930,0,0,1032.05004,31.4,-4.88,-.33,.46,.46,20140601,1.57,2.46,NSDQ,
MIDDLESEX WATER,MSEX,139.29,1.71,2.83,8.86,5.17,4.53039,3.07,2.7176,162.42799,114.85,60.74,42.9,11.36,,16.52,,8.74,14.44,5.45,,1.18,4.05,5.46,118.25599,32.27999,19.92,31.04999,25.25,2.88,52.66999,129.78999,25.82999,0,1.98,11.64,40.16699,,.49,.45,11.86,.21225,29.62899,16.62999,28.48299,15.56635,5.45,,3.99,1.376,.75249,.14,14.46,9.8401,.23182,8,-2.96,-5.09,-1.98,.61,32.66,20.32,2,50,0,68,19.51,2.06,-7.1,.29,21.99,324.86,18.75,18.14,0,0,3.74,27670.5,15.99,0,50,0,0,0,,.39,,.28,,.98,1.12,.03788,0,1.02,20131231,0,0,188.75,24,35.71,13.47,.18999,.19,20140301,1.03,1.23,NSDQ,
MAINSOURCE FINL,MSFG,102.78,1.06,2.32,9.54,4.66,3.7611,1.03,.75423,111.191,144.41,4.92,48.86,8.04,1.45,10.6,97.37,.71,2.19,13.41,8,48.67,-5.4,-5.76,141.587,35.29499,11.5,36.70999,31.65999,0,2200.62011,332.83999,1765.84997,70.01999,5.98999,1698.53002,49.193,,.8,.8,15.45,.05034,.67576,26.34,41.44499,-3.33945,13.41,13.23797,1.17,61.58599,.28,.18,20.49,.0853,.02786,5,-9.43,-9.13,-5,1.14,57,16.33,1.4,100,0,204,14.05,-1.15,-13.29,.36,18.05,333.57,5.56,11.58,0,1.68,2.45,25472.65,20.43,0,0,-1.9,0,.33,0,.37,.02,.34,.07,1.25,1.41,.02557,0,1.42,20131231,0,0,305.51998,20,0,3.66,.37999,.38,20140601,1.4,1.54,NSDQ,
MICROSOFT CORP,MSFT,81.22,3.97,4.11,25.96,21.33,31.919,14.3,19.964,22282.46093,86833,26934,30807,12.95,1.77,13.65,86.82,3.15,1.14,.97,8.88,8.58,11.54,8.22,98332.80468,21561.48437,16.23,27052,27820,0,45625,20645,114246,27108,2660,19544,18.69499,.23,2.5,2.45,10.87,.55627,12.26099,22074,27533.38085,.9651,.97,36.69998,2.53,19.92499,1.07,.25,25.71,5.7856,2.01735,69,15.37,3.25,-2.79,.96,87.54,43.16,2.18,45.45,0,34,31.15,8.88,10.45,.6,44.87,356519.38,-3.33,15.73,3.5,-4.79,2.6,33427980,8260.41,-.08,54.55,-8.36,-21.93,1.91,1.35,.5,.12,.74,.09,2.68,2.74,.04807,-.28,2.66,20140630,0,0,89784,46.47,9.68,8.97,.57999,.58,20140601,2.66,3.16,NSDQ,
MADISON SQUARE,MSG,78.72,2.87,3.01,9.09,9.09,8.9503,4.88,4.56659,763.29052,1340.82,691.02001,348.07998,19.51,1.65,26.61,,25.26,32.61,3.95,17.78,33.37,4.42,7.71,1552.01,245.6,33.15,256.76998,248.86,0,545.89001,0,512.16998,991.83001,0,164.28999,0,,.62,,20.67,.53093,,142.38,233.692,33.63994,3.95,,0,,0,,9.2,8.3739,,18,3.06,-4.74,-1.67,.76,77.43,59.34,2.25,37.5,0,72,48.67,20.61,-1.34,.29,62.45,4579.74,-38.46,29.35,-12.5,.5,0,536595.5,77.18,.25,62.5,0,0,.22,0,.37,,.84,,1.61,2.02,.24263,-8.18,1.79,20140630,0,0,1478.93005,65.57,13.24,20.89,.23999,.24,20140301,1.83,2.23,NSDQ,
MERUS LABS INTL,MSLI,,1.49,4.59,-7.56,-5.08,-6.3922,-3.99,-5.7348,,26.67,2.41,15.31999,9.86,,,,,-117.86,81.43,,,154.64,24.04,,,,4.23,-1.15,0,12.88,29.51,16.45,69.3,1.14999,6.94,27.31599,,2.97,1.19,1.63,.3064,2.2467,-3.05,9.465,85.16536,81.43,,0,,0,-.11,-13.02,3.89409,.64906,,70.17,7.05,17.39,1.01,90.75,2.43,,,,,.86,52.84,62.91,-.02,2.59,126.17,,,,,0,22983.05,51.92,,,,,,,,,,,-.12,,,,-.09,20130930,,,43.27,,,,-.04,-.04,20140301,-.05,,NSDQ,
MISONIX INC,MSON,,3.31,3.2,-12.92,-12.92,-11.544,-10.75,-9.556,,14.83,7.42,-2.14001,,,,,,-344.44,-121.1,,,-5.43,-11.93,,,,-2.92001,-2.92001,0,3.48,0,13.19999,2.82999,4.03,2.97,0,,5.19,,2.02,.9157,1.59259,-2.67001,-2.067,-841.66669,-121.1,,0,,0,,-11.74,5.2649,,,19,-1.98,-1.46,.17,91.77,6.6999,,,,,3.91,6.69,13.93,.03,6.95,48.78,,,,,0,4542.75,7.28,,,,,,,,,,,,,,,-.26,20140630,,,13.77,,,,.01999,.02,20140301,-.4,,NSDQ,
MICROSTRATEGY,MSTR,2.8,5.43,2.75,5.46,8.55,17.142,2.9,8.2391,404.34225,575.89,138.55999,43.13999,30.55,,78.43,-4.67,-113.09,27.72,-73.87,,-25,-3.15,12.32,604.33001,148.35,97.37,16.75,16.75,0,233.50999,0,479.94,0,0,86.18,0,0,2.02,2.06,27.05,1.04079,,83.33,52.93999,305.69619,-73.87,-64.85215,0,,0,.14,4.33,8.0451,1.68626,73,15.2,-.33,1.19,1.19,87.66,143.13,2.2,40,0,34,91.7,23.2,10.29,-.16,150.37,1617.37,-468.75,296.51,12,-160.89,0,78791.15,11.3,-.3,60,-15.83,-85.22,36.7,,.04,5.71,.8,.27,1.9,-.31,-1.73679,0,1.47,20131231,0,0,310.32,145,-480,-13.21,-.91001,-.91,20140601,2.35,1.83,NSDQ,
AMER CAP MTGE,MTGE,99.44,.92,5.08,13.46,3.43,,1.72,,254.815,216.95,0,-41.63001,6.83,1.47,8.1,126.07,-4.56,-12.04,11.93,5,,75.87,,173.035,47.61999,7.19,-45.04001,-83.79001,0,69.70999,7158.18994,227.39999,0,0,0,82.79399,,6.07,3.26,21.74,.02254,,-84.47001,154.40499,-133.76369,11.93,-104.51874,13.19,36.902,3.04999,-.39,71.28,,3.26208,13,14.15,1.84,.2,.5,67.93,19.93,1.83,66.67,0,138,17.43,.2,9.28,.67,21.11,1019.26,-16.42,7.33,0,0,13.05,438415.25,51.14,0,33.33,0,0,0,0,.71,.1,.66,.05,3.13,2.72,.08324,0,2.77,20131231,0,0,1102.71997,21,-8.7,-.57,.56,.56,20140601,2.85,2.46,NSDQ,
MATERIALISE NV,MTLS,,,,,,,,,,94.68,,,,,1132,,-150,,,25,,,,91.605,25.95999,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,8,,-20.73,-7.44,,0,11.32,1,100,0,18,11.32,,,-.01,14.46,,,,,,0,220594.91,,,0,,,,,-.01,,-.01,,,-.05,-.4714,,,20131231,0,0,,17.33,,,-.01,-.01,20140301,.09,.01,NSDQ,
MATRIX SERVICE,MTRX,142.86,2.61,.61,14.06,13.14,12.30099,7.22,7.6935,141.83779,892.57,797.86999,49.49,18,1.54,,,24.54,17.86,93.31,10,9,20.77,12.71,1498.97497,360.35,20.19,36.70999,35.90999,0,164.36,0,296.26998,38.38,2.98,143.86999,14.288,,1.48,,10.27,2.3406,329.397,24,38.88399,39.69731,93.31,,0,,0,,3.09,6.6847,,17,9.91,-17.99,-10.26,2.02,52.28,26.85,2,50,0,67,15.5,-5.29,5.22,.37,37.21,709.19,23.53,15.38,0,0,0,221765.7,26.41,0,50,0,0,,0,.4,.04,.42,.09,1.4,1.75,.04663,1.09,1.33,20140630,0,0,238.16,37.75,46.15,17.38,.41999,.42,20140301,.99,,NSDQ,
MTS SYSTEMS,MTSC,159.72,4.03,1.77,20.22,20.22,19.12299,11.5,10.17,999.23999,569.44,337.5,96.16,14.23,,16.46,,-4.53,-4.34,.37,,30.56,5.01,10.77,583.10998,158.25999,20.18,79.58,79.25,0,174.16,0,329.26,36.27999,77.98,178.83999,0,,1.81,1.44,16.39,1.27119,4.21789,57.79999,72.38999,12.12415,.37,,2.1,19.95599,1.2,.1,9.05,3.302,.41593,5,-7.13,-6.04,-.57,1.48,46.31,66,1.5,100,0,16,59.17,1.77,-11.09,.91,73.92,999.24,-25.35,19.58,-50,0,1.82,50896.05,15.14,0,0,,0,0,,1.15,,,,3.44,3.37,,0,3.27,20130930,0,0,256.52999,80.5,9.86,-5.01,.52999,.53,20140301,3.53,4.01,NSDQ,
MA-COM TECH SOL,MTSI,122.92,4.47,2.43,21.31,13.11,,10.09,43.71599,313.54434,318.72,179.00999,55.22999,15.61,.93,15.1,101.72,24.42,3.61,-157.47,20,-52.98,5.46,3.97,417.73999,114.19999,19.32,37.25,36.43999,0,50.52,0,244.86999,21.87999,53.99,63.86999,53.972,,2.78,3.78,4.45,.82488,3.23889,27.30999,59.053,2803.96044,-157.47,-133.79198,,,0,.09,12.63,5.0869,2.51405,6,17.13,-13.14,-3.68,1.23,66.84,19.9,1.2,100,0,50,13.59,21.12,12.13,.28,23.03,940.63,3.57,18.6,0,-1.83,0,101908,47.27,0,0,-6.45,-.84,0,0,.29,.06,.29,.12,.86,1.07,.02472,0,1.03,20130930,0,0,236.82,23.2,4,5.25,.28999,.29,20140601,.86,1.32,NSDQ,
MATTSON TECH,MTSN,0,2.23,.94,17.62,17.62,-39.86601,7.62,-24.181,75.30449,119.43,82.01999,-7.54,,.98,8.54,0,187.5,63.64,123.21,20,,-5.61,16.26,165.75,36.81999,17.08,-11.51001,-11.51001,0,56.56,0,83.55999,.25,34.11999,29.59,0,,2.2,.87,.92,1.5614,2.66689,-10.97001,-3.30501,43.19005,123.21,103.60184,0,,0,-.09,4.88,4.59779,.35095,7,-25.18,-11.26,-6.39,2.69,15.79,2.05,1.5,75,0,103,1.84,11.41,-28.37,.03,3.17,150.61,0,19.52,0,-27.59,0,389874.06,73.47,0,25,-20,-100,-20,0,0,,.04,0,-.13,.1,.06734,0,.12,20131231,0,0,34.13999,3.26,0,37.5,.02999,.03,20140601,-.12,.24,NSDQ,
MICRON TECH,MU,386.4,3.06,2.18,29.62,20.8,1.2378,15.14,.7713,2336.68872,9073,7226,3442,18.79,.71,8.6,102.71,1560.73,79.25,573.46,13.36,,10.19,15.11,16152.833,4098.95117,11.66,1516,1285,0,4125,4452,8911,386,2649,2329,27.724,.39,2.04,1.52,9.99,.74848,4.0443,1190,1688.40002,215.31007,573.46,352.66903,0,,0,.13,20.22,5.59619,.95345,2,40.46,-9.43,-9.83,1.75,81.44,30.55,1.67,76.19,4.76,11,12.6,13.44,34.47,.71,34.64,32713.64,11.27,9.51,0,.11,0,25946332,1070.82,0,19.05,.52,.35,-.6,0,.81,.11,.89,.13,-.27,3.21,.02912,0,2.62,20130831,0,0,10006,37.5,39.34,30.25,.79,.79,20140501,-.22,3.55,NSDQ,
MICROVISION INC,MVIS,61.54,6.33,16,-486.6,-486.6,-3540.11011,-114.79,-129.63601,84.331,5.85,1.79999,-12.09001,,,,,5.77,50.48,-8.39,,,-30.04,15.09,8.1,2.79999,,-13.17001,-13.17001,0,9.65999,0,5.78,1.13999,.03999,.01999,0,,3.57,.59,.31,.42759,28.54299,-13.17001,-13.622,41.9568,-8.39,,0,,0,-2.25,-268.46,15.5,.59213,6,48.49,-12.5,-12.89,1.45,50,1.96,2,50,0,51,1.09,26.45,42.15,-.1,2.83,84.33,7.69,,0,0,0,746240.88,43.03,0,50,0,0,,,-.08,,-.08,,-.53,-.49,,0,-.48,20131231,0,0,-1.69001,3.5,-27.27,-9.44,-.09001,-.09,20140301,-.52,,NSDQ,
MWI VET SUPPLY,MWIV,113.5,3.89,.65,15.54,15.29,15.11499,7.64,8.21819,302.76733,2347.49,2043.14001,111.45999,24.58,1.6,21.79,87.37,12.03,18.2,12.35,15.8,24.37,13.12,26.58,2934.04199,761.22998,25.87,101.38999,100.68,0,364.76998,.00999,642.82,111.63999,326.08999,307.44,0,,1.6,.87,36.33,3.00589,6.40399,62.84,73.569,17.52384,12.35,12.31129,0,,0,.03,2.55,7.7139,.02546,16,-16.89,-3.34,-3.25,.44,18.39,141.26,1.71,71.43,14.29,64,131.12,2.6,-20.43,1.5,186.26,1816.6,1.33,25.22,0,.24,0,92833.85,12.86,0,14.29,-.1,-.15,.99,0,1.33,.01,1.72,.04,4.92,5.6,.00443,0,5.46,20130930,0,0,426.30999,161,-2.94,2.14,1.51999,1.52,20140601,5,6.48,NSDQ,
MAXIM INTG PDTS,MXIM,89.36,3.44,3.38,19.65,14.56,15.309,11.32,11.762,753.30432,2453.66,944.89001,777.40002,11.6,1.76,14.86,85.2,-.4,-8.47,-20.91,10.34,30.87,.5,7.06,2491.83691,601.53698,17.98,570.27001,570.27001,0,404.89001,503.57,1939.90002,579.15002,275.64001,285.42999,29.42499,,5.06,,8.51,.59241,3.6166,354.80999,735.14398,-22.00436,-20.91,-11.76445,3.63,6.5401,1.03999,.14,19.1,8.26819,,14,5.05,-14.95,-11.02,1.09,24.13,29.31,2.44,31.58,5.26,50,27.37,-8.03,.58,.48,35.41,8286.35,-10.42,18.16,-13.34,-20.28,3.55,2693744.5,282.71,.19,63.16,-20.52,-28.67,-15.74,-1.9,.37,.08,.39,.12,1.68,1.61,.09003,0,1.63,20140630,0,0,2507.98999,31.65,10.26,-1.26,.43,.43,20140601,1.62,1.97,NSDQ,
MAXWELL TECH,MXWL,38.1,2.25,1.79,1.67,5.05,-.49767,1.21,-.30613,162.82449,193.53,118.23999,17.724,20.71,,26.86,-200,-31.82,-12,-79.37,,104.59,21.52,18.32,196.94999,55,136,8.494,8.48999,0,44.25,.1,107.55999,26.34,44.72999,29.86,.05599,,2.32,1.42,4.83,.99542,2.72189,6.34,15.56999,-11.57601,-79.37,-34.86385,0,,0,.03,3.62,5.8091,.74508,4,40.03,-28.37,-14.6,1.48,35.68,10.88,1,100,0,83,6.82,-27.52,34.06,-.01,18.2,325.65,-300,72.53,0,-6.25,0,489094,29.93,0,0,0,0,-28.95,,.08,,.15,,.26,.15,.75426,0,.08,20131231,0,0,140.21,21,112.5,-5.73,-.04,-.04,20140601,.22,.41,NSDQ,
