Company Name,Ticker,% Ratio of Q1/Q0,% Change F1 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change Q2 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q2 Consensus Est. (next fiscal Qtr),Q1 Consensus Est. ,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Average Target Price,% Rating Upgrades ,% Rating Strong Buy or Buy,% Price Change (YTD),% Price Change (12 Weeks),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,52 Week High,52 Week Low,Last Close,Avg Volume,Market Cap ,Relative Price Change,# of Brokers in Rating,# Rating Strong Buy or Buy,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Downgrades ,# Rating Strong Sell or Sell,# Rating Hold,Shares Outstanding ,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q0 Est. (4 weeks),Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Operating Margin 12 Mo,Turnover,Net Margin,Preferred Equity,Common Equity,Book Value,% Change Q1 Est. (4 weeks),Current ROI (TTM),Current ROE (TTM),ROI (5 Yr Avg),Current Avg Broker Rec,Cash Ratio,Quick Ratio,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Dividend ,5 Yr Hist. Div. Growth %,Current ROA (TTM),Price/Sales,Price/Book,Price/Cash Flow,PEG Ratio,P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),ROA (5 Yr Avg),Market Value/# Analysts,5 Yr Div. Yield %,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,
ACADIA PHARMA,ACAD,93.94,-14.05,-29.41,-46.15,-18.89,-.22,-.22,20140601,-.44,20131231,-.66,0,-18.92,-2.33,,-93.75,-15.79,-154.21,,,-.17,-.22,-.21,-.44,-.85,-.55,34.67,0,83.33,-10.24,13.28,10.44,4.76,2.72,37.54,30.1,17.82,22.43,899049.69,2220.03,-15.86,6,5,0,-5,12,129,0,0,0,16.67,0,0,1,98.98,172.23,0,0,6.96999,188.36,0,0,0,.00119,,-18527.46,.45269,-33.14,0,182.13,3.54,-16.98,-23.02,-23.02,-63.83801,1.5,27.02439,27.02,38.46,0,0,0,,-22.14,6626.96,6.34,,,,,,,.1,-45.05,-76.67,-32.578,555.00799,0,0,-139.24546,-154.21,-82.05374,-36.348,-37.94,-37.94,-37.94,-36.34001,0,1.14,
AMER CAP LTD,ACAS,208.89,-15.58,-55,-90.91,-79,.09,.09,20140601,.51,20131231,.19,-10.53,-12.28,-10.1,0,18.63,-57.5,-85.57,5.71,-5.94,.2,.2,.19,.83,.61,.92,17.33,0,50,-.83,5.3,2.78,1.64,1.33,79.74,16.28,12.48,15.51,2428941.5,4156.08,-7.04,8,4,12.5,0,123,26,0,0,0,37.5,0,1,3,267.96,-313.33,-.83,791,0,389,0,0,0,.06578,,12.99,,.38,0,5126,19.8,-14.55,.88,1.01,4.12489,2.13,,,,.15,12.97599,0,,.85,10.19,.78,89.41,4.49,16.86,25.64,81.63,110.19999,413.89999,-7.48,-24.61,4.07969,692.67919,12.94,0,-110.19956,-85.57,-83.80282,49,184,232,276,169,0,487,
ARCTIC CAT INC,ACAT,369.71,-1.67,12.9,-33.33,-15.66,.34999,.35,20140601,2.9,20140331,2.82,0,11.72,-1.44,0,-18.69,.35,-13.19,16,101.6,.31,.9,1.29,2.92,2.36,2.74,42.5,0,40,-33.42,1.8,.98,2.87,2.8,16.39,60.74,33.47,37.94,192085.5,489.27,-37.58,5,2,0,0,74,12,0,0,0,60,0,0,3,12.9,76.12,0,0,148.53999,285.29,0,140.64999,43.31999,2.1758,3.788,5.12,11.741,.05,0,185.03999,14.33,-13.73,19.68,19.68,13.37899,2.6,.6821,.97,2.09,0,0,.4,,11.13,.65,2.65,9.52,1.01,13.85,16.09,13.45,249.24099,777.75799,12.84,8.77,7.6152,97.85479,.21,1.32,-.85797,-13.19,-.85557,53.58399,39.4,60.4,60.52,74.69999,579.40997,730.49,
AMER CAMPUS CTY,ACC,75.29,.63,3.57,3.13,.91,.57999,.58,20140601,2.24,20131231,2.31,0,0,.23,3.16,5.29,10.89,116.69,4.9,11.71,.56,.68,.44,2.2,2.36,2.51,42,0,66.67,21.17,1.4,-2.43,1.93,.26,85.06,40.3,31.8,39.03,633214.13,4094.56,13.59,9,6,0,0,181,8,0,0,0,33.33,0,0,3,104.91,111.97,0,2656.62988,65.08,83.43,0,0,9.22999,.12522,,8.47,64.273,.16,0,2630.56005,24.63,-1.65,1.11,2.26,.95534,1.78,1.14013,1.28,1.86,1.09,52.678,1.4175,1.7804,1.06,5.88,1.58,18.25,3.38,15.57,16.55,16.9,178.919,724.73101,20.71,33.82,.89003,584.93701,3.93,3.89,91.49828,116.69,84.77838,224.069,104.63999,48.45,126.47,305.64999,318.64999,657.46,
ACCO BRANDS CP,ACCO,130.26,2.08,11.76,16.67,1.71,.18999,.19,20140601,.76,20131231,.78,0,-2.72,1.6,1.75,-2.96,-25.49,108.56,5.8,12.69,.17,.36,.25,.75,.74,.79,7.55,0,40,9.23,21.52,17.82,7.78,2.25,96.04,7.41,5.64,7.34,761416.31,837.49,2.39,5,2,0,0,192,2,0,0,0,60,0,0,3,114.1,99,0,920.79998,445.1,841.70001,1175.30004,254.69999,471.89999,.72918,4.09,5.22,4.51669,.04,0,702.29998,6.57,4.21,5.53,12.9,5.19469,2.4,.25859,1.32,1.96,1.21,54.7,0,,3.81,.48,1.12,5.26,1.72,9.26,9.95,9.41,451.333,1687.69995,9.23,.38,3.22869,209.3735,0,0,-38.7803,108.56,-33.18892,158.5,77.09999,91.69999,146.39999,217.19999,1220.30004,1765.1,
ACE LIMITED,ACE,92.63,1.76,7.08,6.57,11.45,2.42,2.42,20140601,9.35,20131231,9.57,.89,-.08,.35,0,-2.31,22.22,5.48,10,3.65,2.26,2.22,2.24,8.96,9.13,9.33,113.64,0,73.33,.66,1.26,.58,3.76,.8,93.69,105.32,87.72,104.21,1691723,35191.72,-5.64,15,11,0,0,213,16,0,0,0,26.67,0,0,4,337.7,90.03,0,3807,59936,20375,5404,0,18033,.20452,,16.82,1.09109,.2,0,28825,89.8,.03,9.93,11.25,10.16699,1.77,.03907,.34,.34,.13,11.8,1.50999,19.641,3.44,1.8,1.16,10.17,1.14,11.17,11.41,10.89,4868.85009,17970.82812,7.19,4.91,3.1602,2932.64331,2.28,2.49,31.75725,5.48,38.87657,3485,3758,4238,4513,4781,12522,18742,
ATL COAST FINL,ACFC,150,0,0,150,,.01999,.02,20140601,-1.13,20131231,-.47,,0,0,,108.85,57.68,-32.89,,,.02,.04,.03,-1.23,.1,.25,5,0,100,-3.46,1.46,2.7,.6,.76,75.39,4.5,3.2,4.18,19219.75,64.83,-9.5,1,1,0,0,151,1,0,0,0,0,0,0,0,15.51,-7.89,0,110,558.09997,510.14999,0,0,395.95999,.04701,.03189,-3.81,.08169,-.32,0,65.51999,4.54,0,-.75,-2.2,-6.07951,1,.2046,.91,.91,1.78,63.984,0,,-.18,1.92,.92,,,16.72,41.8,,6.17,24.11,-9.29,-19.35,-1.48081,64.828,.07,0,-30.92754,-32.89,-71.17118,-2.34401,-11.4,-11.4,-2.02,-.35,3.29999,35.16,
ACORN ENERGY IN,ACFN,,,-17.86,-34.78,-32.48,-.25,-.25,20140601,-1.14,20131231,-1.01,,,,,,-22.58,-28.63,,,-.28,,,,,,5,0,50,-54.55,22.52,-15.14,-13.95,.7,8.54,6.67,1.4,1.85,183051.8,41.05,-57.39,2,1,0,0,,,0,0,0,50,0,0,1,22.19,,,0,13.86999,35.95,8.15999,4.53999,12.13,.44065,3.00049,-105.13,3.33899,-1.37,0,31.51,.98,,-78.3,-78.3,-27.32201,2,1.39005,2.26,1.82,0,0,.035,,-46.33,2.05,1.88,,,,,,,,-13,12.03,-19.42001,,.73,0,-68.4922,-28.63,-77.79773,-21.61701,-29.71,-30.83,-30.95001,-30.95001,16.6,21.76,
AGRI BANK CHINA,ACGBY,,,,,,.64999,.65,20140301,2.09,20131231,2.16,,,,,,17.42,18.09,,18.43,,,,2.07,,,,0,100,-2.76,8.51,5.64,-1.15,.41,69.45,12.94,9.83,11.99,12784.1,14742.34,-8.84,1,1,0,0,,,0,0,0,0,0,0,0,1229.55,,,43027.76953,2109835.5,1826073.875,223.16,0,1115447.5,.04762,,24.73,.1014,.23,0,136477.17187,120.36,,15.85,20.51,17.22299,1,.33681,.87,.87,,22.822,.52121,60.37799,1.18,.13,.1,.49,,,,5.55,,81738.39062,20.72,11.36,1.1123,,,4.98,,18.09,16.61759,29982.58984,26859.68945,34610.51171,34610.51171,37432.20312,38328.60937,114799.3,
ARCH CAP GP LTD,ACGL,63.63,5.25,18.18,15.38,9.93,1.16999,1.17,20140601,4.39,20131231,4.29,4.05,-3.61,-.55,0,-9.09,72.83,2.97,11,3.62,.99,.9,.74,4.21,3.99,3.58,58.71,0,18.18,-6.53,-1.88,-.27,1.92,.49,45.15,59.69,52.58,55.79,452616.66,7481.44,-12.38,11,2,9.09,0,213,42,0,0,0,72.73,0,1,8,134.1,93.06,1.02,1059.31005,11981.46972,6190.60009,0,0,4278.18017,.18177,,15.84,.80023,.2,325,5322.49023,49.94,5.85,7.87,10.16,7.5046,2.73,.15961,.52,.7,.23,20.048,0,,2.88,1.99,1.12,12.06,1.27,15.58,13.98,13.01,1006.82501,3971.35791,1.87,1.26,2.60739,831.27099,0,0,-7.27311,2.97,19.60598,617.65301,709.72998,742.5,769.55999,769.55999,2243.52001,3526.16,
ALUMINUM CP-ADR,ACH,,,,,,-.66001,-.66,20140301,.2,20131231,,,,,,,107.84,,,,,,,,,,8.06,0,0,32.53,26.29,14.95,.35,1.69,83.09,12.22,8.14,11.53,249533.3,6237.49,24.24,1,0,0,0,,,0,0,0,100,0,0,1,540.98,,,7476.60986,15623.11035,10185.05957,2195.81005,3801.05004,994.28997,,6.6668,,,0,0,8672.88964,15.61,,,,-4.53631,3,.34498,.41,.71,,50.18799,0,,,,.74,77.7,,,,,,,,15.35,-2.54671,,.07,0,,,108.8392,80.272,121.25,142.63999,142.63999,103.51,26918.77929,27363.14,
ACADIA HEALTHCR,ACHC,72.41,1.83,87.1,0,24.55,.57999,.58,20140601,1.07,20131231,1.45,2.38,-3.51,-2.08,0,36.57,62.12,132.35,20.2,,.31,.44,.42,1.06,1.46,1.92,56.88,0,77.78,5.94,16.2,7.67,4.11,.83,79.07,53.55,37.26,50.14,457994,2936.2,-.69,9,7,0,0,115,3,0,0,0,22.22,0,0,2,58.56,140,0,601.94,114.69,145.11999,682.10998,0,95.87999,.60391,,9.31,7.85449,.06,0,480.70999,15.29,-1.87,6.27,12.66,-17.92901,1.67,.42933,1.27,4.38,.62,38.305,0,,5.62,3.7,3.28,34.74,1.7,26.07,34.31,34.58,286.285,994.94201,84.39,75.09,-9.26071,367.02474,0,0,153.636,132.35,108.67647,72.92299,42.56999,69.23999,106.48999,125.83999,0,713.41,
ACCRETIVE HLTH,ACHI,,,,,,,,,.29,20131231,,,,,0,,123.08,,20,,.06,,,.31,,,10.33,0,20,-10.04,9.87,-8.24,-.12,.7,37.98,10.02,7.15,8.24,136119.59,801.48,-15.67,5,1,20,0,,,0,0,0,60,0,1,3,97.27,,,0,114.86,305.57998,1.46,0,95.38999,,,,,,0,238.08,,,,,40.29399,3,,,,,,0,,,,3.17,21.6,,,,,,,,,12.83399,,0,0,,,,37.47399,29.15999,48.06999,48.06999,56.38,630.44,826.28,
ACHILLION PHARM,ACHN,110.71,4.31,11.11,0,12.48,-.16,-.16,20140601,-.63,20131231,-.61,0,5.95,5.01,,-17.46,1.56,-1.51,,,-.18,-.23,-.18,-.65,-.74,-.91,10.5,0,80,187.44,237.1,42.18,25.69,2,100,9.54,2.43,9.54,4351275.5,923.43,169.45,10,8,0,25.88,12,115,-.49,0,0,20,0,0,2,96.8,126.53,0,.05,9.39999,124.77999,0,0,.47999,,,,,,0,152.94999,1.3,3.38,-40.56,-40.58,-93.30001,1.4,13.2234,13.27,14.52,0,0,0,,-37.97,,7.33,,,,,,,,,955.47,-64.335,131.91914,0,0,-27.29669,-1.51,-25.0849,-56.197,-58.94,-58.94,-58.89,-56.14,0,2.61,
ARCH COAL INC,ACI,90.32,3.01,4.17,-42.86,8.24,-.46001,-.46,20140601,-1.08,20131231,-1.52,0,4.52,-.99,0,-73.4,-200,-83.85,5,-.36,-.48,-.38,-.42,-1.34,-1.87,-1.17,3.86,0,20,-27.87,-13.24,7.36,.31,1.91,15.09,5.18,2.86,3.21,5463549.5,681.42,-32.38,15,3,26.67,0,218,21,0,0,0,53.33,0,4,8,212.28,4154.5,.72,5118,488.22,1782.06994,0,264.16,229.57,.32892,10.609,-10.91,12.35599,-.21,0,2253.23999,9.57,1.6,-4.39,-14.36,1.09809,3.02,2.63885,3.11,3.28,2.52,71.58,.11999,-45.863,-3.59,.23,.34,5.08,,,,,714.69598,2924.26904,5.25,-27.52,.78903,61.94718,1.95,.31,7.85053,-83.85,6.15834,134.121,-641.83002,-1080.71998,-699.46003,-232.75,2663.12988,3014.36,
ACI WORLDWIDE,ACIW,102.78,7.21,500,-233.33,71.57,.11999,.12,20140601,.7,20131231,.75,0,-7.87,1.3,33.33,4.5,.48,26.49,20,35.15,.02,.55,.12,.6,.74,.91,21.5,0,25,-12.31,5.46,6.8,.03,1.04,51.04,21.67,16.22,19,624977.69,2161.82,-17.8,4,1,25,0,36,80,0,0,0,50,0,1,2,113.78,71.15,233.33,708.07,345.6,436.35998,1098.36999,0,205.83,.59556,,9.06,4.71659,.07,0,543.69,4.42,-11.91,7.27,17.62,9.3036,3,.66704,1.26,1.16,1.38,57.977,0,,5.4,2.22,4.3,13.73,1.29,20.94,25.85,25.33,260.24499,1072.60705,22.5,29.76,5.3674,540.45501,0,0,24.24023,26.49,30.75348,159.979,63.86,93.15,120.37,195.72,343.82998,864.93,
AXCELIS TECH,ACLS,83.33,-42.11,14.29,-100,-29.76,-.06,-.06,20140601,-.15,20131231,-.09,0,-400,-87.5,0,10,34.78,70.35,20,,-.07,-.03,-.05,-.13,-.14,0,2.83,0,100,-27.05,1.14,-2.2,.56,2.63,24.74,2.51,1.54,1.78,338185.91,197.94,-31.61,3,3,0,0,99,6,0,0,0,0,0,0,0,111.2,125,0,14.52,35.45999,184.89999,0,95.77999,36.58,.9103,1.37569,-5.13,6.15509,-.09,0,176,1.56,-66.67,-5.68,-6.14,-11.29,1.33,1.48166,2.51,5.67,.08,7.4442,0,,-4.67,.95,1.14,,,356,,,40.09999,186.11,3.03,-3.81,-9.30551,98.97049,0,0,75.53871,70.35,49.63267,-11.051,-17.14,-16.10001,-15.65,-10.58,127.69,195.63,
AECOM TECH CORP,ACM,126.84,.31,0,0,.06,.64999,.65,20140601,2.35,20130930,2.2,0,1.69,-.4,-20.17,7,2.17,489.52,9.58,5.83,.65,.42,.82,2.37,2.51,2.63,39.38,0,40,25.89,17.69,4.78,6.16,1.51,100,37.05,27.47,37.05,1915018,3677.21,18.01,10,4,0,5.71,200,7,0,0,0,60,0,0,6,99.25,107.07,.78,1089.06005,2053.54003,3131.60009,1894.90002,0,2342.26,1.3751,,2.76,3.2976,.03,0,2074.09008,23.01,-2.14,6.75,10.01,8.2341,2.2,.38438,1.52,1.52,.43,29.964,0,,3.79,.47,1.61,11.19,1.54,14.11,14.73,16.84,2193.65502,7993.39599,6.65,-.79,4.6708,408.57922,0,0,483.67678,489.52,508.53823,333.643,239.24,335.76998,380.5,474.89999,7703.5,8153.5,
ACCESS MIDSTRM,ACMP,171.29,-8.93,-33.33,-51.61,-27.24,.18,.18,20140601,1.01,20131231,1.02,3.23,-4.21,1.95,0,43.37,-15.83,65.23,12,-13.16,.27,.83,.31,1.45,1.45,1.87,69.56,0,80,8.77,-.79,-2.12,2.41,.41,76.57,66.57,45.1,61.54,539572.25,11664.11,1.96,10,8,0,0,165,5,0,0,0,20,0,0,2,189.54,140.15,3.23,3249.22998,306.47,257.92999,372.39001,0,222.39999,.14317,,28.97,6.201,.31,0,4352.79003,23.16,3.77,4.32,7.74,6.2607,1.6,.11593,.84,.72,.87,46.43399,1.9375,40.55699,4.15,10.06,2.66,17.31,3.54,32.87,42.5,60.33,305.77499,1310.12097,29.73,76.39,6.00519,2332.82153,4.1,3.87,83.58396,65.23,88.29924,632.195,336.01998,346.36999,463.14001,759.30999,0,1073.22,
ACCENTURE PLC,ACN,87.56,.04,4.13,-.96,2.42,1.25999,1.26,20140501,4.21,20130831,4.45,,.19,.04,0,7.64,9.64,-7.36,10.75,13.92,1.21,1.23,1.1,4.2,4.53,4.93,84.82,0,47.06,-2.93,.03,.01,1.08,1.2,63.03,85.4,70.28,79.81,2227168,50379.42,-9.01,17,8,0,0,,,0,0,0,52.94,0,0,9,631.24,109.24,.34,25.6,8160.99023,11844.17968,1818.57995,0,4846.56982,1.8658,,9.49,5.93909,.11,0,5427.81982,9.71,-.32,51.65,51.88,53.55799,2.12,.85744,1.45,1.46,0,.42985,1.62,35.817,17.71,1.62,8.22,15.33,1.64,16.19,17.61,17.93,7651.23486,29840.70703,8.02,2.07,15.85599,4198.28515,1.94,2.33,-3.93946,-7.36,28.52388,3358.01489,3281.87011,4339.29003,4353.31982,4946.33984,21010.10937,30394.29,
ACORDA THERAPT,ACOR,18.06,-39.19,71.43,100,58.69,.23999,.24,20140601,.41,20131231,.65,0,-74.07,-30.69,-41.18,-45.12,-42.25,-86.89,10,-9.68,.14,.02,.04,.41,.22,.52,39.67,0,20,8.6,-1.28,6.12,4.48,1.33,33.16,39.43,27.88,31.71,443175.5,1323.35,1.8,5,1,0,-21.33,12,156,0,0,0,80,0,0,4,41.73,24.07,0,3.22,96.63999,367.32998,17.45,26.17,30.78,.51678,2.4579,7.55,12.67899,.05,0,440.35,11.99,-55.17,5.08,5.9,-2.82731,2.6,3.21171,3.53,7.33,.57,36.37599,0,,3.9,3.73,2.64,48.46,14.09,60.4,140.93,48.78,94.44899,367.703,46.24,10.01,-.797,330.83825,0,0,-87.47509,-86.89,-89.39013,27.01099,16.44,28.86,31.03,40.59999,66.63999,336.43,
ACTIVE POWER,ACPW,110.53,-92.5,-58.33,-58.33,-40.82,-.19,-.19,20140601,-.44,20131231,-.75,0,-350,-370,,-75,-340,-1189.3,,,-.12,-.18,-.21,-.39,-.77,-.47,3.5,0,100,-32.14,-15.56,-13.96,-.87,.82,1.42,3.67,2.26,2.28,67893.5,52.62,-36.39,1,1,0,0,94,4,0,0,0,0,0,0,0,23.08,131.25,0,0,16.86,34.54999,0,12.02,9.06999,1.17009,2.8324,-32.28,5.4432,-.14,0,20.29999,1,-320,-66.1,-66.1,-29.41501,1,.79833,1.34,2.35,0,0,0,,-37.77,1.09,2.28,,,,,,10.5,44.09999,7.66,-19.15,-16.276,52.61999,0,0,-930.91602,-1189.3,-334.89588,-7.271,-8.35001,-8.35001,-7.98001,-6.90001,42.29999,61.7,
ARES COMMERCIAL,ACRE,97.39,-7.71,9.52,-15,-20.41,.23,.23,20140601,.42,20131231,.61,0,-13.45,-4.96,0,110.95,950,441.73,5,,.21,.26,.22,.82,.89,1.11,13.88,0,60,-5.5,-.8,-2.67,.32,.97,11.18,13.89,12.19,12.38,130759.15,353.94,-11.41,5,3,0,0,168,15,0,0,0,40,0,0,2,28.59,320,-4.59,395.01998,67.80999,185.91999,0,0,148.86999,.0489,,30.71,.56035,.37,0,406.20999,14.13,-15.47,1.72,4.34,,1.8,.54637,2.74,3.3,2.28,69.50499,1,,1.5,6.16,.88,39.17,2.79,11.13,13.97,20.3,18.52,72.68,,305.26,,70.7888,,8.08,2689.54345,441.73,1500,9,13.76,13.93999,29.27,30.20999,0,37.6,
ACELRX PHARMACT,ACRX,69.12,-4.06,-25.93,0,75.46,-.34001,-.34,20140601,-.89,20131231,-.59,0,-16.42,-52,,-24.72,41.06,72.78,,,-.27,-.39,-.24,-1.25,-1.11,-1.27,13.67,0,66.67,-39.88,-25.76,-32.54,5.43,1.83,9.58,13.03,6.14,6.8,1986377.75,294.91,-43.64,6,4,0,-83.33,10,84,0,0,0,33.33,0,0,2,43.37,111.9,1.85,14.35999,6.86,104.55999,0,0,0,.28938,,-80.21,,-.79,0,73.15,1.28,6,-30.23,-36.8,-106.53501,1.83,15.24198,15.24,10.66,.4,28.75799,0,,-23.21,10.41,5.31,,,,,,4.96,5.47669,,1132.33,-117.06601,98.303,0,0,48.04147,72.78,29.79616,-34.71,-23.42001,-23.42001,-21.91,-21.12001,0,29.5,
AMER CAP SNR FL,ACSF,100,-.62,0,-17.39,,.28999,.29,20140601,,20131231,,0,-1.14,-1.99,,,,,,,.29,.29,.29,,1.07,1.15,15.58,0,100,,2.78,.65,.5,,54.48,14.7,13.25,14.04,35050.45,140.4,,3,3,0,0,75,3,0,0,0,0,0,0,0,10,,0,,,,,,,,,,,,,,15.12,-1.14,,,,1.33,,,1.48,.91,47.699,0,,,,.93,,,12.21,13.08,,4.55,17.533,,,,46.79999,,3.28,,,,,,,,,,,
ACTAVIS PLC,ACT,90.29,-2.46,1.48,6.08,2.67,3.42,3.42,20140601,9.5,20131231,12.17,-.65,-4.48,-2,12.02,39.51,58.33,111.09,15.65,38.18,3.37,3.39,3.09,9.39,13.25,16.41,263.31,0,100,29.8,2.01,.9,7.57,.35,90.41,227.26,131.43,218.07,2898577.75,38044.28,21.68,16,16,0,.19,16,7,0,0,0,0,0,0,0,174.46,147.74,1.17,8517.40039,3294.8999,4434.70019,16432.0996,1786.30004,1404.90002,.47843,3.02329,20.22,6.9189,-.09,0,9537.0996,55.51,-2.95,12.4,25.1,11.543,1.03,.3774,.8,1.98,1.11,52.589,0,,9.67,3.76,3.93,14.03,1.05,13.29,16.45,17.92,3608.31005,12353.58105,32.32,46.71,8.331,4227.14208,0,0,-813.9303,111.09,-871.22303,2705.69995,-750.40003,-638.40003,-398.60001,934.79998,4690.70019,8677.6,
ACACIA RESEARCH,ACTG,50,55.56,-2200,-428.57,-757.14,.05,.05,20140601,-.09,20131231,-.61,0,20,25.83,0,55.56,-103.86,-2082.39,20,52.18,0,.1,.03,.23,-.04,1.01,23.38,0,75,16.23,12.14,14.11,-2.42,.92,40.17,23.2,12.67,16.9,539728.06,846.07,8.96,4,3,0,0,41,5,0,0,0,25,0,0,1,50.06,-31.25,0,0,26,273.72,318.57998,0,6.34,.15576,,-31.1,6.0281,-.43,0,562.19,10.43,-42.31,-5.21,-5.21,11.161,1.5,10.28384,10.53,5.92,0,0,.375,,-4.84,9.07,1.62,17.15,,16.65,,,35.5,141.35,12.84,-47.93,9.6436,423.0325,.67,2.96,-678.7143,-2082.39,-194.92011,49.205,-56.43001,-80.80001,-80.80001,-26.91,147.5,130.56,
ACME UTD,ACU,,,,,,.72,.72,20140601,1.22,20131231,1.27,,,,,,7.96,17.27,,10.78,,,,,,,20,0,100,13.96,5.79,1.37,1.62,.4,83.25,17.64,13.7,16.98,6893.3,54.54,6.83,1,1,0,,,,0,0,0,0,0,0,0,3.21,,,22.90999,9.86999,56.97999,4.07,28.20999,15.61999,1.33159,2.11829,4.57,7.8083,.04,0,35,11.78,,7.36,12.35,7.3351,1,1.33232,2.91,3.59,.83,45.29299,.31,11.597,6.09,.57,1.44,10.43,,,,13.37,,,11.51,6.17,5.677,,2.34,1.88,12.86825,17.27,12.99435,5.203,4,5.48999,5.98999,7.19,57.75,89.58,
ACURA PHARMACT,ACUR,100,,12.5,,,-.07001,-.07,20140601,-.29,20131231,-.29,,0,3.33,,100,-45,-14.18,,,-.08,.22,-.07,-.3,0,-.29,1.25,0,50,-46.71,-27.64,-13.59,-.68,1.73,2.48,2.03,.86,.89,94423.9,17.41,-50.04,2,1,0,0,16,21,0,0,0,50,0,0,1,19.56,100,0,9.6,1.1,27.45,0,.25,.18999,.00803,.6729,-7290.26,1.8571,-113.01,0,17.92,.53,0,-62.63,-91.14,-31.602,2,24.55454,24.73,7.9,.89,47.14899,0,,-58.56,89.29,1.69,,,,,,.05,15.19999,-57.87,,-29.56501,17.412,0,0,-19.19848,-14.18,-43.89234,-13.771,-13.9,-13.9,-13.891,-13.761,.10999,.12,
ACCURIDE CORP,ACW,-14.29,97.14,50,-10,2.86,.07,.07,20140601,-.8,20131231,-.37,0,22.22,72.73,,99.38,13.98,92.18,,,0,-.04,-.01,-.82,-.01,.28,5.5,0,66.67,35.39,-9.66,-.59,4.12,2.05,73.46,5.74,3.14,5.05,243838.8,240.9,26.92,3,2,0,0,112,9,0,0,0,33.33,0,0,1,47.7,6.67,,330.17999,89.98999,149.25999,226.11999,39.31999,59.52,1.036,13.13399,-2.8,8.7746,-.06,0,61.88,1.36,83.33,-4.64,-33.85,-32.66601,1.67,.56028,1.22,1.66,5.24,83.982,0,,-2.9,.37,3.71,25.62,,17.72,,,175.53999,698.53997,3.55,-30.86,-6.68791,120.44999,0,0,86.41973,92.18,78.47752,9.366,-38.31001,-36.57,-1.55,45.45999,598.91998,642.88,
ACXIOM CORP,ACXM,183.33,-1.92,-47.06,23.08,2.54,.09,.09,20140601,.86,20140331,.78,0,12.19,0,,-11.05,13.16,-119.94,,6.82,.17,.23,.17,.82,.76,.92,27.5,0,75,-50,-17.82,-5.76,1.65,1.47,3.5,38.9,17.75,18.49,827683.63,1424.53,-53.13,4,3,0,0,37,10,0,0,0,25,0,0,1,77.04,82.5,0,289.04,249.46,665.52001,416.39001,0,178.69999,.84385,,5.61,6.31949,.01,0,682.84997,8.82,-15.39,6.38,9,6.1873,1.5,1.95149,2.67,2.84,.41,29.10799,0,,4.74,1.33,2.1,7.13,,20.1,24.17,23.7,,,-.93,-.17,4.6023,712.26251,0,0,-83.80579,-119.94,-84.61806,198.01199,8.85999,38.43,50.09999,181.94,828.95001,1097.55,
AEROCENTURY CP,ACY,75,0,14.29,21.05,-2325.54,.31999,.32,20140601,2.03,20131231,-.57,,0,0,,-74.88,-38.86,-167.28,,3.32,.28,-.25,.24,2.96,.51,1.67,18.75,0,100,-33.24,-29.42,-30.06,-25.31,1.68,0,20.99,11.47,11.47,5756.2,17.7,-37.41,1,1,0,0,101,3,0,0,0,0,0,0,0,1.54,-109.09,0,0,78.69999,10.94999,0,0,5.19999,.16215,,-3.09,6.4783,.1,0,49.09,27.6,0,-1.84,-1.84,6.5197,2,.07306,.14,.14,0,0,0,,-.5,.63,.42,1.68,,6.87,22.49,,7.13999,28.94099,-1.18,9.68,1.96749,17.69799,0,0,-105.87418,-167.28,-38.03089,10.52799,3.21,4.9,8.97,16.28,8.76,32.2,
