Company Name,Ticker,F1 Consensus Est.,% Change LT Growth Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Beta,% Price Change (1 Week),% Price Change (12 Weeks),52 Week Low,Price as a % of 52 Wk H-L Range,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),Rank in Industry (of ABR),Industry Rank (of ABR),% Price Change (YTD),Avg Volume,Shares Outstanding ,Average Target Price,Market Cap ,Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Relative Price Change,% Price Change (4 Weeks),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,% Rating Hold,Exchange,% Rating Strong Buy or Buy,Current Avg Broker Rec,Last Close,52 Week High,% Rating Upgrades ,% Rating Downgrades ,Change in Avg Rec ,Long-Term Growth Consensus Est.,Annual Sales,Net Income ,Pretax Income ,EBIT ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,Cash Flow ,12 Mo. Net Income Current-1Q/Last-1Q %,Div. Yield %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,EBITDA ,Cost of Goods Sold,Current ROI (TTM),Last Yrs Growth (F[0] / F [-1]),P/E (Trailing 12 Months),P/E (F1),P/E (F2),Price/Cash Flow,PEG Ratio,Price/Book,Market Value/# Analysts,Current ROA (TTM),ROI (5 Yr Avg),ROA (5 Yr Avg),Current ROE (TTM),Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,5 Yr. Hist. EPS Growth,% Ratio of Q1/prior Yr Q1 Actual Q(-3),This Yr`s Est.d Growth (F(1)/F(0)),Current Ratio,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),% Ratio of Q1/Q0,% Change EPS (F(-1)/F(-2)),Quick Ratio,Price/Sales,Debt/Equity Ratio,Inventory Turnover,Asset Utilization,Receivables ,Inventory ,Intangibles,Current Assets ,Current Liabilities ,Long Term Debt ,Preferred Equity,Common Equity,Book Value,Debt/Total Capital,# of Brokers in Rating,
PUBLICIS GP-ADR,PUBGY,1.19,1.2,,,,,,1.18,20131231,,,-1.74,-2.86,,.0168,1.32,1.46,-5.99,-18.81,17.27,0,,,8,46,-24.82,57461.3,791.98,21,13677.56,,,,,,1.23,-29.91,-8.43,0,0,20,OTC,80,1.4,17.27,23.62,0,0,0,8.4,9231.5,1074.58996,1463.78002,1524.88,13.06474,,1281.328,,1.67,1.58,23.82299,.44394,1754.67004,0,,7.27,,14.51,13.12,10.68,1.73,2.01,4559.18798,,,,,.12,,,.13379,,,.85,.86,4.79,,9748.41992,,,,.83,,,0,,9976.86035,407.77999,9380.45019,12300.0498,14316.41015,714.61999,0,6816.83007,8.61,9.48849,5,
PRUDENTIAL PLC,PUK,3.24,0,,,,,,1.65,20131231,,,-2.94,-2.85,,.01745,3.63,1.75,-.2,-1.46,36.43,76.44,,,1,146,1.87,296595.66,1282.17,54.44,58774.81,,,,,,2.81,-5.04,-4.5,0,0,0,NYSE,100,1,45.84,48.74,0,0,0,9,81956.4,2558.43994,3257.90991,3257.90991,-26.53355,,2106.22094,,2.57,3.15,12.59799,.9373,3257.90991,67527.36718,,-39.78,,14.15,12.61,27.86,1.57,3.29,29387.40429,,,,,.03,,,1.59474,,,96.36,2.71,-6.8,,,,,,2.47,,.72,,,6814.70019,0,2563.13989,19247.03906,7795.83007,12022.3496,0,15101.87988,13.95,41.93399,2,
PULASKI FINL CP,PULB,.88,,0,-10.53,-7.63,.25,.25,1.09,20130930,.89,,0,0,0,.00798,1.11,.54,.91,-1.45,9.99,78.45,-4,0,21,191,.91,11525.9,12.08,12.5,137.29,.25,0,.27,.25,.03,1.1,-5.93,-1.71,0,0,50,NSDQ,50,2,11.3628,11.74,0,0,0,,70.38,9.8,14.6,16.06999,-.20367,-46.16,19.249,-37.41597,3.34,4.77,0,.37999,21.61,4.96,8.01,47.3,12.77,12.84,10.28,6.73,,1.18,68.6425,.83,4.61089,.61264,10.69,.14,18.66,.05677,.07674,36.46,100,-18.81,1.01,-1.44,-6.53,52.51499,14.095,108,-46.16,.96,2.34,.2,.06629,.04436,991.80999,70.47,3.93,1148.59997,1124.76,23.45,17.30999,98.73999,9.64,16.163,2,
PURE BIOSCIENCE,PURE,-.09,,-40,-140,,-.07001,-.07,-.69,20140731,-.43,,0,-125,,,.02,.78,1.96,-3.7,.87,21.8,0,,23,30,-9.57,43209.2,28.97,3,30.13,-.07,,,,,-.23,-15.7,-2.8,0,0,0,OTC,100,1,1.04,1.65,0,0,0,,.82,-7.67001,-7.67001,-7.08,13.62612,-31.31,-6.253,,0,0,,0,-5.93,.56,-1108.44,56.33,,,52,,,21.9,30.13299,-327.1,-448.44602,-242.247,-2383.14,,-1376.4,30.684,,,,60.87,.9,.99,-3.51,5,,,-31.31,,49.72,,1.38359,.23765,.00999,.36,1.42999,.47999,2.15,.87999,0,-.99001,.05,0,1,
PENN VIRGINIA,PVA,-.27,0,-250,-100,-103.33,-.07001,-.07,-.49,20131231,-.31,0,7.44,-128.33,-125.46,-.37183,.52,1.59,-13.2,-28.63,6.27,47.85,-4.17,-4459.99,1,57,25.56,2111390.75,71.48,21.56,846.32,-.02,-.84,-.08,-.01,-3.45,-.42,17.05,-19.67,-2.15,0,10,NYSE,90,1.3,11.84,17.91,0,0,0,10,431.47,-143.07001,-220.76,-141.92,-36.80437,-41.85,221.807,1.47699,0,1.39,0,0,103.66999,35.24,-.91,35.53,,,22.88,3.49,,.77,169.2646,-.75,-1.93061,-1.52181,-2.21,-.33,-3.3,3.0373,.1522,,380,44.08,1.22,36.05,-11.08,640.67297,143.35699,108.57,-41.85,.91,1.49,1.12,,.2263,194.39999,0,0,233.69,258.14001,1281,1.14999,787.65002,15.43,52.64699,10,
PRETIUM RES INC,PVG,-.1,,25,50,25,-.03,-.03,-.14,20131231,-.12,,0,0,0,-.14142,-.15,.16,-15.5,-33.13,2.78,45.88,0,0,61,117,5.62,380803.34,115.31,11.5,628.42,-.04,-.28,-.03,-.03,-.28,-.12,-1.54,-22.91,0,0,50,NYSE,50,2,5.45,8.6,0,0,0,,,-16.10001,-9.81001,-9.81001,-5.57378,25.17,-14.914,11.48203,0,,,0,-9.75,0,-1.83,12.5,,,,,,.87,314.21148,-1.76,,,-1.83,,,,1.38206,,83.33,28.57,3.85,,,,,83.33,25.17,2.34,,0,,,7.78999,0,0,19.04,8.14,0,0,678.07,6.29,0,2,
PVH CORP,PVH,7.39,-.39,5.59,-1.34,1.45,1.50999,1.51,7.03,20140131,6.71,0,-.45,.26,-4.43,.00618,8.61,1.65,-2.86,4.33,107.87,50.22,.18,.97,13,79,-9.71,902705.69,82.39,143.82,10118.68,1.43,.01,2.49,1.92,.02,7.03,-15.83,3.71,-.88,8.33,25,NYSE,66.67,1.92,122.81,137.62,0,0,0,14.21,8186.35,143.52999,328.76,520.95001,-66.91638,52.8,894.583,-43.10006,.12,.21,0,.15,834.53997,3967.08007,6.71,6.84,18.3,16.63,14.26,11.2,1.17,2.23,1011.86846,4.8,8.1645,5.66989,12.61,.02,6.76,9.9903,.61615,24.26,108.12,5.08,1.87,35.47,30.1,8393.89843,2261.97998,164.68,52.8,1.11,1.23,.8,3.14199,.71062,761.13,1280.94995,7558.95996,2998.59008,1552.39001,3878.21997,0,4335.16992,55.01,44.57099,12,
PRIVATEBANCORP,PVTB,1.91,0,18.18,7.32,10.97,.51999,.52,1.57,20131231,1.81,,.81,.05,.21,.01265,2,1.95,-1.06,1.22,20.9,85.39,0,0,20,197,3.04,542177.75,76.49,33.04,2280.11,.44,.02,.47,.47,.03,1.55,-3.94,.4,0,0,75,NSDQ,25,2.58,29.81,31.33,0,0,0,10,606.23,122.94,199.94,230.39999,57.83798,38.87,150.95899,43.19939,.13,.27,0,.03999,258.41,40.70999,7.38,78.41,16.47,15.64,14.91,15.03,1.56,1.66,228.01069,1,2.41039,.30985,10.69,.2,23.13,.05709,.03658,81.84,112.62,21.4,.93,1.36,1.87,566.638,143.02699,90.96,38.87,.92,3.71,.45,.98817,.04321,10634.15039,26.80999,102.93,11101.03027,12028.37011,627.78997,0,1301.90002,17.91,30.95899,12,
PENN WEST EGY,PWE,.17,,600,-28.57,108.2,.07,.07,-.42,20131231,-.12,0,21.32,128.41,0,.49321,.28,1.56,0,-25.59,7.01,4.36,0,-15,100,74,-13.76,2256113.75,492.59,8.99,3551.55,.01,.08,.09,.03,,-.29,-19.6,-2.17,-12,20,60,NYSE,20,2.8,7.21,11.6,0,0,.3,,2571.45,-814.03003,-1050.07996,-1050.07996,-567.56464,-132.89,1537.71594,-3897.46949,7.16,7.41,-20.36801,.78693,690.65997,856.77001,-.59,-4100,,43.04,26.22,2.29,,.52,887.888,-.47,1.2809,1.0261,-.77,-.32,-2.25,8.64009,.17407,-14.46,170,139.88,.56,-20.35,.88,2374.18994,,121.43,-132.89,.57,1.41,.26,,.21033,310.83999,0,1857.31005,447.80999,786.83001,2325.53002,0,7489.49023,13.91,20.93499,5,
QUANTA SERVICES,PWR,1.88,0,2.56,10.81,9.44,.4,.4,1.61,20131231,1.73,,1.1,.53,1.96,.01917,2.29,.68,.16,4.96,27.03,96.56,2.56,0,1,196,16.76,966082.31,212.4,41.6,7826.75,.39,.02,.55,.52,.03,1.49,8.85,1.46,-.83,0,0,NYSE,100,1.1,36.85,37.2,0,0,.01,8,6522.84,401.92001,639.23999,641.90002,31.08082,16.99,500.29,15.38874,0,0,,0,795.58001,5467.37988,8.78,11.03,21.3,19.6,16.09,15.64,2.45,1.79,2608.91821,6.48,6.64849,5.017,8.78,.06,5.26,4.7539,.8072,23.39,125,16.77,2.32,10.18,20.27,7718.93994,2048.56396,137.5,16.99,2.19,1.1,0,165.764,1.23169,1439.10998,31.87,1988.58996,2313.31005,1043.52001,0,0,4241.31005,20.62,.09397,10,
PERFECT WORLD,PWRD,1.9,0,36.84,31.5,15.6,.51999,.52,1.52,20131231,1.94,,0,0,0,.06685,2.27,1.87,-3.61,1.11,16.35,39.53,-.44,0,9,149,12.65,326252.25,43.6,27.88,873.27,.38,.22,.38,.54,.41,1.56,5.02,-6.14,0,0,33.33,NSDQ,66.67,1.67,20.03,25.66,0,0,0,12.1,504.26,89.84999,81.26,82.51999,2.29989,82.52,107.958,35.83059,2.3,.6,,.43,115.58,117.55,13.31,-20.83,10.32,10.56,8.82,8.05,.87,1.14,218.317,9.39,25.843,19.07399,13.31,.18,16.92,16.756,1.80411,-13.49,98.29,24.84,1.79,13.39,12.06,624.45501,157.62699,73.72,82.52,1.92,1.51,,,.55484,32.65999,0,139.08,563.70001,294.35,0,0,744.70001,17.61,0,6,
PRAXAIR INC,PX,6.39,0,-.63,0,-.32,1.58,1.58,5.93,20131231,6.15,.61,-.21,.01,0,.00398,7.13,.82,-.11,-.6,117.75,84.46,-.27,.04,16,148,1.55,974074.88,292.03,142.62,38559.91,1.59,.01,1.63,1.68,.01,5.93,-5.34,.52,0,5.88,41.18,NYSE,52.94,2.12,132.04,134.67,0,0,0,11.67,11925,1755,2447,2625,3.7234,9.17,2881,8.89423,1.97,2.01,10.37199,2.4,3734,6744,11.81,6.46,21.47,20.65,18.52,13.47,1.77,5.29,2268.22973,8.94,13.09799,9.58609,26.23,.15,15.03,6.1185,.19444,9.31,108.03,7.83,1.24,6.25,6.41,12493.66894,3168.21289,103.25,9.17,.9,3.17,1.17,13.204,.59486,1892,506,3790,2916,2664,8026,0,7003,24.94,54.52199,17,
PIONEER NAT RES,PXD,5.59,0,7.14,21.9,5.52,1.35,1.35,4.06,20131231,4.89,-5.84,3.4,.36,1.4,.0543,7.14,1.4,-4.57,-13.72,164.78,47.71,.79,-.46,58,57,7.22,1237952.88,143.1,245.04,28241.82,1.26,.11,1.37,1.6,.1,4.38,-.05,-6.62,1.74,0,33.33,NYSE,66.67,1.85,197.36,233.07,0,0,0,21.15,3719.51,-838.40998,-561.71003,-377.96,-536.03595,-337.11,1543.74694,-1141.85804,.04,.1,0,.07999,611.96997,1151.58996,7.17,5.18,40.36,35.33,27.63,18.79,1.67,4.18,1344.84863,5.33,4.86219,3.51769,9.96,-.23,18.68,8.3787,.85597,44.54,108.87,37.59,.94,15.22,17.31,4130.63818,1029.06298,101.61,-337.11,1.21,7.6,.39,6.36399,.28558,438.26,220.11999,274.32,1728.43005,1250.09997,2653.05004,0,6614.75,47.19,28.26,27,
PIXELWORKS INC,PXLW,-.29,-25,-22.22,15.38,-23.14,-.11,-.11,-.43,20131231,-.14,-37.5,-71.74,-45,-100,-.4389,.06,1.51,2.95,-12.19,3.83,49.3,,-60,17,78,37.55,973574.63,22.9,10,151.85,-.09,-.53,-.08,0,,-.46,28.23,-.3,-50,0,0,NSDQ,100,1.5,6.63,9.51,0,0,.17,22.5,48.12,-8.87,-8.54,-8.14001,-55.88752,75.99,-4.101,42.91176,0,0,,0,-3.74001,21.7,-15.79,-53.57,,,102,,,8.44,75.927,-8.37,-32.565,-14.53,-17.02,-.18,-5.27,15.022,1.58579,,-100,32.56,1.73,-19.41,-6.38,64.36399,17,72.73,75.99,1.9,2.57,.1,11.406,1.5892,4.76,1.65999,0,30.07999,14.92,.67,0,18.94,.79,8.95979,4,
PETROBRAS EGY,PZE,.84,,-26.67,,,.21999,.22,.71,20131231,,,0,0,,,.76,1.32,-3.13,-2.69,4.34,74.83,0,0,18,205,17.3,122699.75,201.92,6.25,1314.53,.3,,.16,,,.76,9.35,5,0,100,0,NYSE,0,4,6.51,7.24,0,0,0,,2825.63,156.92999,258.60998,258.60998,6.08395,24.45,547.622,26.93783,.96,2.07,-15.429,0,662.73999,2074.09008,9.26,5.97,,7.75,8.57,2.4,,.81,1314.52502,6.03,5.60379,3.7098,10.89,.06,7.75,5.9376,.68695,,,18.31,1.92,.25,-6.11,,,72.73,24.45,1.31,.5,.19,10.213,.77758,463.98999,241.3,0,1214.97998,741.95001,372.82,0,2154.20996,8.08,15.86499,1,
PARAMOUNT GOLD,PZG,-.06,,-200,0,,-.03,-.03,-.08,20140630,-.08,0,0,0,,0,-.05,1.95,-1.51,-8,.79,19.7,50,,2,29,-1.27,493737.69,157.74,1.45,145.12,-.01,,,,,-.07,-7.96,-7.07,0,0,0,AMEX,100,1,.92,1.45,0,0,0,,.14,-11.06001,-11.06001,-11.05001,17.95251,-1038.77,-11.01001,-214.36388,0,0,,0,-11,0,-17.7,-260,,,,,,2.39,72.56199,-17.21,-12.582,-10.76201,-17.7,-79,-6743.56,.12734,15.48717,,,7.69,19.05,-96.91,,,,,-1038.77,19.05,890.33,0,,.00255,1.38999,0,0,7.42999,.38999,0,0,60.63,.38,0,3,
PZENA INVESTMNT,PZN,.55,,0,-8.33,6.67,.12999,.13,.44,20131231,.5,,0,0,0,,.66,2.31,-4.39,-13.91,6.56,51.88,0,0,,155,-18.45,29097.25,65.24,12,625.63,.13,,.15,.15,,.41,-23.98,-8.14,0,0,0,NYSE,100,1,9.59,12.4,0,0,0,,95.77,6.65999,49.02,49.02,73.89034,67.75,5.85099,73.63818,1.25,3.67,.57879,.25,49.18999,0,12.15,57.14,19.18,17.44,14.53,105.71,,11.29,625.63201,8.28,8.46679,5.87169,12.31,.07,6.18,4.45909,6.24236,7.7,136.36,25,4.05,25.55,7.81,117,31,115.38,67.75,10.67,5.84,.01,,1.3393,24.67,0,0,59.43999,5.57,.76999,0,58.54,.85,1.0029,1,
PAPA JOHNS INTL,PZZA,1.71,0,-2.44,0,-1.37,.4,.4,1.53,20131231,1.58,,0,0,0,.0237,2.03,.55,-.07,-5.43,34,31.03,.2,0,19,160,-10.97,375118,40.93,53.6,1654.23,.41,.03,.37,.49,.08,1.54,-17,2.15,0,0,20,NSDQ,80,1.8,40.42,54.69,0,0,0,15.75,1439.02,69.52999,106.09999,107.08,12.76354,1.31,102.93699,5.84037,1.39,.19,,.25,142.17999,803.35998,21.81,20,25.58,23.71,19.96,16.92,1.51,15.36,413.55725,14.44,20.325,13.40799,49.76,.05,4.45,29.89699,.49877,18.08,114.84,11.44,1.46,7.18,7.49,1568.65405,380.27301,91.88,1.31,1.04,1.09,1.93,32.36199,3.2446,53.2,23.03,79.38999,125.04,97.86,157.89999,0,138.17999,2.63,66.79199,5,
QUINTILES TRANS,Q,2.64,2.34,8.33,21.43,10.8,.64999,.65,2.1,20131231,2.45,,.23,-.05,-.12,.00829,2.92,.79,-2.45,4.11,41.58,82.97,.71,0,,,20.33,542590.31,127.28,60.46,7096.97,.6,.02,.64,.67,.02,2.06,12.17,-.16,0,6.25,25,NYSE,68.75,1.78,55.76,58.67,0,0,0,12.51,5099.54,226.58999,323.10998,446.60998,27.62757,81.19,398.26,47.04447,0,,,0,575.92999,3762.62988,23.47,18.64,22.76,21.14,19.11,18.05,1.69,,473.13104,10.95,,,,.04,6.26,5.50139,.67823,,118.52,25.59,1.38,4.81,,4204.44482,1053.13098,98.46,81.19,1.31,1.36,-3.26,,1.7487,940.36999,0,707.67999,1945.68005,1482.23999,2035.57995,0,-667.47999,-4.78,,16,
QAD INC-A,QADA,.44,,0,-116.67,-3.87,.05999,.06,.41,20140131,.45,0,0,18.92,0,,.48,.93,-7.05,-12.89,13.38,59.33,0,37.5,2,36,6.74,11991,12.86,23.5,242.41,.06,,.11,.21,,.32,-.5,-9.64,0,0,0,NSDQ,100,1,18.85,22.6,0,0,0,,266.31,6.38,10.14999,10.97,-3.77074,90.85,12.446,114.41109,1.53,.93,,.28799,17.03,117,9.42,-10.87,41.89,42.84,39.27,19.02,,3.79,242.41099,3.4,6.93889,2.5977,11.68,.02,2.6,5.1064,.66159,48.78,84.62,7.32,1.16,5.61,5.86,,,183.33,90.85,1.14,.86,.24,,1.30569,71.33,0,11.36999,170.42999,149.78999,15.07999,0,64.19999,4.97,19.10099,2,
QAD INC,QADB,.44,,0,,,.05999,.06,.41,20140131,.45,0,0,18.92,0,,.48,.52,-3.11,-8.54,11.25,65.96,0,37.5,14,47,3.06,2384.15,15.85,23,261.52,.06,,.11,.21,,,-3.93,-5.49,0,0,0,NSDQ,100,1,16.5,19.21,0,0,0,,266.31,6.38,10.14999,10.97,-3.77074,90.85,12.446,114.41109,1.45,1.04,-29.16301,.23999,17.03,117,9.43,-10.87,36.67,37.5,34.38,20.89,,4.15,261.52499,3.4,8.21039,3.0376,11.68,.02,2.6,5.03569,.66159,-8.5,84.62,7.32,1.16,5.61,5.85,284.58999,68.3,183.33,90.85,1.14,.93,.24,,1.3006,71.33,0,11.36999,170.42999,149.78999,15.07999,0,64.19999,3.98,19.10099,1,
QUALCOMM INC,QCOM,4.82,0,24.07,10.09,7.92,1.34,1.34,4.01,20130930,4.58,,0,0,0,.008,4.9,1.18,.16,-4.89,65.71,63.69,0,0,8,127,2.13,7682849,1676.02,85.82,127092.91,1.08,.02,1.2,1.28,.05,4.01,-4.8,-1.53,0,0,28,NSDQ,72,1.64,75.83,81.6,0,0,0,14.2,24866,6853,8194,8194,12.17875,14.34,8242,10.64,2.22,1.69,19.975,1.2,9403,9820,20.44,23.38,16.56,15.72,15.47,15.78,1.11,3.3,31773.22656,16.32,17.815,13.442,20.44,.28,29.2,13.526,3.09054,24.03,131.32,20.26,3.72,30.05,25.63,26855.09765,7001.50781,89.18,14.34,3.5,4.84,0,9.06089,.55896,2142,1302,6529,19555,5213,0,0,36087,22.98,0,25,
QCR HLDGS INC,QCRH,1.85,0,4.65,11.11,.03,.44999,.45,2.08,20131231,1.86,,0,0,0,.01675,1.96,.23,-2.06,2.03,15.65,80.82,-.39,0,3,197,3.52,4345.05,7.93,20,139.79,.43,.03,.5,.5,.03,2.19,-3.5,.28,0,0,0,NSDQ,100,1.25,17.63,18.1,0,0,0,10,107.69,14.93,19.54999,32.59999,18.3981,14,21.378,23.05867,.45,.72,0,.07999,39.04,4.71,2.81,12.43,9.48,9.54,8.99,4.8,.95,1.04,34.94699,.64,1.7947,.46156,10.87,.14,14.23,.07335,.07319,59.17,98.04,-11.18,.88,14.56,1.29,91.315,23.246,111.11,14,.87,1.28,3.08,4.2283,.04464,1437.46997,1.35,5.09,1570.29003,1796.28002,414.07998,.01999,147.55,17,75.49099,4,
QUIDEL CORP,QDEL,-.23,0,40,-86.21,9.48,-.12,-.12,.44,20131231,.01,,0,0,0,-.25353,.34,.47,5.78,20.52,20.67,51.63,0,0,58,30,-14.63,161394.05,34.31,24.5,904.73,-.2,-.08,-.12,.15,.41,.27,-20.42,8.25,0,0,50,NSDQ,50,2.13,26.37,31.71,0,0,0,20,175.41,7.38999,3.43,4.19999,48.09619,-162.34,40.249,-137.48917,0,0,,0,28.88999,66.97,.21,18.92,2637,,77.89,22.24,,4.1,180.9456,.18,8.0492,6.94,.22,.04,.3,7.75799,.8775,-41.19,245,-152.27,3.67,12.63,3.01,172.587,37.70299,102.08,-162.34,2.12,5.59,.02,2.70169,.60686,29.92,27.62999,143.02,78.61,24,5.11999,0,223.77,6.42,2.1716,8,
QEP RESOURCES,QEP,1.38,0,22.58,52,1.51,.37999,.38,1.17,20131231,1.29,-9.68,-1.32,-1.05,-1.36,.07453,1.68,1.9,-4.98,-9.65,27.69,40.74,3.84,-2.81,12,57,.82,1971479.38,180.09,38.57,5564.81,.31,.14,.31,.35,.12,1.39,-6.02,-11.74,8.59,0,25,NYSE,75,1.63,30.9,35.57,0,0,0,15.55,2935.8,159.39999,291.20001,454.5,24.24005,-145.5,1231.40002,751.92303,.26,.23,13.012,.07999,1476.90002,997.90002,3.15,-8.59,23.95,22.34,18.39,4.5,1.44,1.45,794.97314,2.31,4.9573,3.35929,5.93,.05,6.96,7.06799,.15136,-5.9,85.71,18.2,1.52,24.94,8.89,3246.33105,795.85198,81.2,-145.5,.79,1.68,1.02,101.46399,.33234,408.5,13.39999,0,519,641.5,2997.5,0,3876.80004,21.25,50.54899,8,
QEP MIDSTRM PTR,QEPM,.95,0,-21.74,0,-16.26,.18,.18,1.03,20131231,.74,,0,0,0,.08327,1.09,,-.25,-7.98,21.31,49,0,0,29,102,2.28,49835.7,26.72,26.33,634.58,.23,.14,.27,.26,.15,.89,-4.65,-5.98,0,0,75,NYSE,25,2.5,23.75,26.29,0,0,0,13,148.4,58,62,65.5,-13.81873,-10.82,98.9,1.30597,4.72,,,.12999,102.4,29.5,9.15,,32.1,24.93,21.89,6.41,1.92,1.22,158.64399,8.31,,,9.15,.39,38.06,3.3382,.7011,,225,7.02,1.71,16.39,,138.623,37,150,-10.82,2.04,5.05,0,,.21836,36.29999,0,0,55.29999,27.1,0,0,527.59997,19.48,0,4,
QIAGEN NV,QGEN,1.08,0,0,0,1,.25,.25,1.02,20131231,1.06,,.31,0,.33,.00617,1.19,.88,-.38,-3.59,20.01,69.63,.6,-.1,167,10,-.84,653463.69,232.56,24.91,5490.77,.25,.02,.27,.34,.03,1.02,-7.56,-2.64,1.54,0,71.43,NSDQ,28.57,2.43,23.61,25.18,0,0,0,9.52,1301.98,69.06999,37.33,68.20999,-46.6641,338.36,445.22299,-40.13403,0,0,,0,267.55999,486.48999,6.88,2,22.27,21.86,19.76,12.4,2.3,2,549.07659,5.97,6.96829,5.8369,9.43,.05,19.28,4.5265,1.44263,3.73,102.69,5.88,4.06,3.79,6.57,1361.53295,336.86499,106.8,338.36,2.35,4.12,.43,3.394,.30968,306.57998,128.08999,2646.09008,920.88,337.02999,845.27001,0,2723.87011,11.82,29.899,14,
QIHOO 360 TECH,QIHU,2.06,0,-9.09,17.65,-.41,.3,.3,.81,20131231,1.21,0,1.93,-5.5,-4.94,.02746,3.95,1.8,-3.64,-20.95,74.94,.41,0,-23.2,1,38,-8.43,3787671.5,89.42,140.56,6717.75,.33,,.48,.77,,.95,-14.64,-18.47,16.67,0,0,NYSE,100,1,75.13,121.53,0,0,0,35,671.09,97.83999,124.01,129.58,110.54442,132.52,149.54299,274.62271,0,0,,0,173.91999,87.83,11.64,113.16,62.09,36.47,19,41.35,1.04,6.98,3358.87451,9.64,11.442,9.60519,20.43,.15,16.35,14.94799,5.28846,,137.14,154.32,2.61,103.96,98.37,1346.75,363.557,160,132.52,5.55,6.77,.62,,.58943,54.59,0,122.44999,1157.70996,208.58999,600,0,754.07,10.77,38.394,9,
QIWI PLC-ADR,QIWI,1.46,0,-2.33,27.59,16.73,.41999,.42,1.14,20131231,1.41,,-1.01,0,0,.09141,1.96,4.42,-8.14,-19.35,26.89,17.91,0,0,,,-42.55,635925.63,52.31,53.88,1682.65,.43,.17,.38,.4,.28,1.22,-46.45,-17.89,0,0,20,NSDQ,80,1.4,32.17,56.37,0,0,0,20,356.44,57.81,77.01,77.91,,,64.22799,,4.04,,,.55199,81.47,201.47999,66.33,,22.82,22.08,16.43,26.1,1.1,9.61,560.88397,14.56,,,68.28,.16,19.38,5.9401,.76363,,110.29,27.78,1.25,,,230.55099,58.92699,89.29,,.92,4.35,.02,,.75134,87.72,0,75.76999,514.77001,559.22998,3.44,0,85.16999,3.36,2.39129,5,
QLOGIC CORP,QLGC,.74,0,0,5.88,25.27,.15999,.16,.69,20140331,.77,,0,0,0,,.81,1.3,-2.81,-8.98,8.85,11.65,,0,20,195,-21.13,1214545.38,87.82,10.05,819.36,.16,,.18,.23,,.68,-26.48,4.95,2.86,20,80,NSDQ,0,3.4,9.33,12.97,0,0,0,13,460.91,-18.26001,-8.96001,-8.96001,-124.96924,-117.83,92.689,-124.97539,0,0,,0,23.55999,150.8,9.47,18.97,12.12,12.61,11.52,8.75,.97,1.16,819.36102,8.38,14.91399,12.151,9.47,-.04,14.38,6.4807,3.93695,-7.8,100,7.25,6.07,-4.88,-5.02,508.89498,124.93,112.5,-117.83,4.77,1.75,0,8.67389,.58285,65.20999,18.03,264.01,392.95999,78.66999,0,0,693.41998,8.07,0,5,
QLIK TECHNOLOGS,QLIK,.01,0,30,-5.26,-31.32,-.07001,-.07,-.05,20131231,-.09,,0,0,0,1.04587,.1,1.66,-5.06,16.5,20.57,37.64,0,0,10,36,.75,1081388.75,89.93,30.7,2412.69,-.1,-.14,-.06,.28,.03,.02,-6.08,-5.43,0,0,46.15,NSDQ,53.85,1.96,26.83,37.2,0,0,0,27.3,470.45,-9.97001,.89999,.89999,-360.31333,-216.49,2.901,-1137.19275,0,0,,0,9.11999,61.81999,-3.4,-200,,3353.75,263.04,820.84,122.85,9.07,482.53759,-1.98,3.18709,1.8486,-3.4,-.02,-1.76,3.81139,1.34074,,120,116,2.16,21.08,24.89,552.76599,124.78199,85.71,-216.49,2.22,4.74,0,,1.1244,162,0,33.91999,407.88,183.38999,0,0,272.17001,2.96,0,13,
QLT INC,QLTI,-.56,,-41.67,-9.09,-17.43,-.17001,-.17,-.48,20131231,-.54,,,0,0,,,.49,-20.97,-21.47,4.29,22.51,,0,132,8,-12.03,145299.95,51.08,6.75,250.3,-.12,,-.12,-.15,,-.52,-17.99,-12.03,0,0,100,NSDQ,0,3,4.9,7,0,0,0,,42.23,-24.87001,-25.23,-25.23,-154.43206,-145.84,-23.55801,-150.26641,0,0,,0,-24.27001,0,-18.1,34.25,,,,,,1.74,250.302,-17.37,-6.09841,-5.90531,-18.1,,,,37.15366,,85.71,-16.67,29.28,,,,,70.59,-145.84,38.26,,0,,,4.65999,0,0,161.82,4.23,0,0,157.77999,2.81,0,2,
